object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,7240,36.0,125,1.8,0.9,0.9,0.15,0.3,0.0,,-,0.0,-,1.0,obstacle,0
barrel,15.0,20,15.03,7209,36.0,122,6.2,2.5,2.5,0.5,1.6,1.0,fire hydrantx20,-,0.95,obstacle,1.0,obstacle,0
barrel,12.0,20,12.03,7223,36.0,121,9.2,4.8,4.8,0.85,4.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,10.0,20,10.04,7255,36.0,120,13.1,7.0,7.0,1.0,7.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,8.0,20,8.05,7271,36.0,121,20.9,10.1,10.1,1.0,9.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,6.0,20,6.07,7238,36.0,119,37.0,15.9,15.9,1.0,16.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7213,36.0,123,4.0,1.9,1.9,0.75,1.8,1.0,fire hydrantx20,-,0.85,obstacle,0.95,obstacle,0
cone,15.0,20,15.03,7210,36.0,123,9.6,4.1,4.1,1.0,4.0,1.0,fire hydrantx20,-,0.95,obstacle,1.0,obstacle,0
cone,12.0,20,12.03,7220,36.0,122,13.8,7.9,7.9,1.0,8.1,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,10.0,20,10.04,7222,36.0,120,21.3,10.5,10.5,1.0,10.4,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,8.0,20,8.05,7204,36.0,119,34.3,13.0,13.0,1.0,13.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,7213,36.0,120,68.0,24.5,24.5,1.0,25.1,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,7212,36.0,121,16.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7288,35.7,119,32.8,2.9,2.9,0.45,1.3,0.0,,-,0.75,obstacle,1.0,obstacle,0
planter,12.0,20,12.03,7235,36.0,120,70.2,6.2,6.2,0.85,3.3,0.0,,-,0.85,obstacle,1.0,obstacle,0
planter,10.0,20,10.04,7235,36.0,118,120.1,12.4,12.4,1.0,10.3,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,8.0,20,8.05,7265,36.0,115,237.3,18.1,18.1,1.0,17.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,6.0,20,6.07,7357,36.0,121,356.0,29.9,29.9,1.0,29.3,0.7,benchx14,-,0.95,obstacle,1.0,obstacle,0
car,20.0,20,20.02,7215,36.0,118,31.6,12.0,12.0,1.0,11.8,1.0,carx20,vehicle,0.95,obstacle/vehicle,1.0,obstacle/vehicle,0
car,15.0,20,15.03,7214,36.0,119,58.1,26.1,26.1,1.0,27.1,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,12.0,20,12.03,7258,36.0,126,105.8,43.3,43.3,1.0,42.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.04,7223,36.0,122,170.3,66.0,66.0,1.0,64.5,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.05,7292,36.0,115,314.9,109.6,109.6,1.0,108.8,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.07,7258,36.0,124,473.6,236.2,236.2,1.0,233.6,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.02,7211,36.0,118,3.4,3.4,3.4,0.95,3.1,0.3,personx6,-,0.95,obstacle,1.0,obstacle,0
person,15.0,20,15.03,7240,36.0,117,8.9,5.8,5.8,1.0,5.7,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,12.0,20,12.03,7337,36.0,115,12.2,8.4,8.4,1.0,8.1,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,10.0,20,10.04,7216,36.0,113,15.9,10.2,10.2,1.0,10.6,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.05,7261,36.0,119,24.5,16.6,16.6,1.0,16.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.07,7235,36.0,117,49.4,28.1,28.1,1.0,28.1,1.0,"personx20, frisbeex20",-,0.95,obstacle,1.0,obstacle,0
