object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,4933,25.0,155,1.2,0.5,0.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.03,4993,25.0,127,3.9,1.7,0.5,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
barrel,12.0,20,12.03,5657,27.6,150,6.5,1.9,0.8,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,10.0,20,10.04,4891,24.2,155,9.1,3.5,1.1,0.05,0.1,0.0,,-,0.0,-,0.0,-,0
barrel,8.0,20,8.05,4994,25.6,141,12.1,4.2,1.4,0.3,0.9,0.0,,-,0.85,obstacle,0.75,obstacle,0
barrel,6.0,20,6.07,4585,23.1,126,24.1,9.2,3.1,0.65,3.1,0.0,,-,0.9,obstacle,1.0,obstacle,0
barrel,4.0,20,4.1,5618,27.4,154,36.4,19.1,5.8,0.8,5.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,5113,24.6,130,2.5,1.4,0.6,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,15.0,20,15.03,5121,24.7,127,7.5,3.3,0.8,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,12.0,20,12.03,4425,22.2,139,9.3,3.0,0.8,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
cone,10.0,20,10.04,4631,23.7,155,13.0,4.2,1.4,0.25,0.8,0.0,,-,0.6,obstacle,0.8,obstacle,0
cone,8.0,20,8.05,3898,20.1,101,20.3,6.5,2.1,0.5,1.9,0.0,,-,0.75,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,3058,15.8,106,27.6,7.8,2.6,0.4,2.5,0.0,,-,0.85,obstacle,1.0,obstacle,0
cone,4.0,20,4.1,3510,17.9,115,40.1,20.4,6.8,0.6,6.8,0.0,,-,0.85,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,3914,20.0,105,10.6,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,3314,17.3,117,19.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.03,3195,16.8,103,33.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,10.0,20,10.04,3339,17.5,103,57.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,8.0,20,8.05,3215,16.5,105,108.3,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,6.0,20,6.07,3748,18.6,100,177.2,0.0,0.0,0.0,0.0,0.7,benchx14,-,0.0,-,0.0,-,0
planter,4.0,20,4.09,5150,24.9,100,188.8,39.9,13.2,0.0,0.0,1.0,benchx20,-,0.0,-,0.0,-,0
car,20.0,20,20.01,3404,17.7,114,12.7,4.7,1.4,0.35,1.2,1.0,carx20,-,0.9,obstacle,1.0,obstacle/vehicle,0
car,15.0,20,15.02,3241,16.9,102,26.9,10.2,3.3,0.5,3.2,1.0,carx20,vehicle,0.8,obstacle/vehicle,1.0,obstacle/vehicle,0
car,12.0,20,12.02,3805,19.7,107,57.8,21.8,7.3,0.55,7.2,1.0,carx20,vehicle,0.85,vehicle,1.0,vehicle,0
car,10.0,20,10.03,2885,15.2,109,74.8,26.1,8.9,0.45,8.8,1.0,carx20,vehicle,0.8,vehicle,1.0,vehicle,0
car,8.0,20,8.04,3128,16.4,105,98.5,36.5,12.3,0.35,12.2,1.0,carx20,vehicle,0.8,vehicle,1.0,vehicle,0
car,6.0,20,6.06,3043,16.1,114,221.7,113.8,38.0,0.75,37.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.01,3340,17.2,101,1.2,0.6,0.3,0.0,0.0,1.0,personx20,-,0.0,-,0.0,-,0
person,15.0,20,15.02,2983,15.6,99,2.1,1.6,0.6,0.0,0.0,1.0,personx20,-,0.0,-,0.0,-,0
person,12.0,20,12.02,3125,16.2,111,3.9,2.1,0.8,0.15,0.5,1.0,"personx20, bicyclex13",-,0.65,obstacle,0.0,-,0
person,10.0,20,10.03,3359,17.6,100,6.5,3.5,1.2,0.25,0.8,1.0,personx20,-,0.55,obstacle,0.7,obstacle,0
person,8.0,20,8.04,3064,16.1,111,10.4,5.5,1.7,0.4,1.7,1.0,personx20,-,0.8,obstacle,1.0,obstacle,0
person,6.0,20,6.06,3987,20.2,110,25.7,12.2,4.3,0.55,4.3,1.0,personx20,-,0.85,obstacle,1.0,obstacle,0
person,4.0,20,4.09,3077,16.1,98,17.7,15.2,5.2,0.35,5.2,1.0,"personx20, carx20",-,0.9,obstacle,1.0,obstacle,0
