object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,7220,36.0,111,1.6,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.03,7257,36.0,101,3.4,1.2,0.4,0.0,0.0,0.3,fire hydrantx6,-,0.0,-,0.0,-,0
barrel,12.0,20,12.03,7192,36.0,110,8.2,1.0,0.3,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,10.0,20,10.04,7194,36.0,100,11.3,1.8,0.7,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,8.0,20,8.05,7204,36.0,112,20.1,4.0,1.2,0.05,0.1,0.0,,-,0.0,-,0.0,-,0
barrel,6.0,20,6.07,7175,36.0,115,36.8,8.6,3.0,0.75,2.5,0.0,,-,0.8,obstacle,0.6,obstacle,0
barrel,4.0,20,4.1,7180,36.0,113,23.8,14.3,4.8,0.95,4.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7171,36.0,103,2.2,0.2,0.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
cone,15.0,20,15.03,7204,36.0,104,6.2,1.6,0.8,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,12.0,20,12.03,7288,36.0,98,11.8,2.4,0.8,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,10.0,20,10.04,7219,36.0,104,19.9,4.8,1.6,0.1,0.3,0.0,,-,0.35,obstacle,0.0,-,0
cone,8.0,20,8.05,7177,36.0,106,35.4,6.8,2.4,0.55,1.6,0.0,,-,0.85,obstacle,0.6,obstacle,0
cone,6.0,20,6.07,7181,36.0,107,66.4,14.5,4.8,0.95,4.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,4.0,20,4.1,7196,36.0,116,47.8,26.6,8.9,1.0,8.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,7370,36.0,104,16.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7191,36.0,105,33.6,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.03,7188,36.0,119,65.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,10.0,20,10.04,7183,36.0,110,115.7,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,8.0,20,8.05,7246,36.0,124,225.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,6.0,20,6.07,7369,36.0,125,303.4,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,4.0,20,4.1,7175,36.0,108,226.2,0.0,0.0,0.0,0.0,1.0,benchx20,-,0.0,-,0.0,-,0
car,20.0,20,20.03,7208,36.0,117,30.4,12.4,4.0,0.95,3.9,1.0,carx20,vehicle,0.95,obstacle/vehicle,1.0,obstacle,0
car,15.0,20,15.04,7265,36.0,121,60.9,26.7,8.8,1.0,8.7,1.0,carx20,vehicle,0.95,vehicle,1.0,obstacle/vehicle,0
car,12.0,20,12.04,7218,36.0,132,104.9,42.4,14.4,1.0,14.2,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.05,7263,36.0,140,173.7,66.9,21.9,1.0,21.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.06,7389,36.0,128,322.1,115.7,38.2,1.0,38.2,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.08,7571,36.0,127,478.2,228.1,76.2,1.0,76.1,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.03,7556,36.0,140,3.7,2.9,1.1,0.05,0.1,1.0,personx20,-,0.0,-,0.0,-,0
person,15.0,20,15.04,7375,36.0,126,8.3,5.2,2.2,0.4,1.4,1.0,personx20,-,0.75,obstacle,0.0,-,0
person,12.0,20,12.04,7546,36.0,127,10.6,6.2,1.8,0.2,0.6,1.0,personx20,-,0.9,obstacle,0.3,obstacle,0
person,10.0,20,10.05,7652,36.0,132,18.8,11.2,3.9,0.8,3.5,1.0,personx20,-,0.9,obstacle,0.85,obstacle,0
person,8.0,20,8.06,7579,36.0,146,25.2,16.1,4.8,1.0,4.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.08,7579,36.0,140,52.2,28.4,9.8,1.0,9.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,4.0,20,4.11,7476,36.0,148,75.7,54.9,18.2,1.0,18.2,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
