object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,7198,36.0,81,1.4,0.7,0.2,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.03,7236,36.0,69,6.2,2.1,0.7,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
barrel,12.0,20,12.03,7192,36.0,69,8.5,2.6,1.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,10.0,20,10.04,7198,36.0,70,12.8,5.2,1.6,0.1,0.3,0.0,,-,0.45,obstacle,0.9,obstacle,0
barrel,8.0,20,8.05,7202,36.0,69,19.9,6.7,2.1,0.35,1.1,0.0,,-,0.85,obstacle,1.0,obstacle,0
barrel,6.0,20,6.07,7217,36.0,76,36.4,13.5,4.5,1.0,4.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,4.0,20,4.1,7209,36.0,75,41.0,22.6,7.4,1.0,7.4,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7217,36.0,75,4.4,2.3,0.7,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,15.0,20,15.03,7202,36.0,68,10.3,4.9,1.9,0.2,0.6,1.0,fire hydrantx20,-,0.6,obstacle,0.0,-,0
cone,12.0,20,12.03,7230,36.0,76,13.6,5.5,1.8,0.2,0.6,0.0,,-,0.7,obstacle,0.7,obstacle,0
cone,10.0,20,10.04,7212,36.0,69,20.9,7.8,2.7,0.65,2.0,0.0,,-,0.9,obstacle,1.0,obstacle,0
cone,8.0,20,8.05,7212,36.0,63,35.8,10.5,3.6,1.0,3.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,7211,36.0,68,68.7,19.2,6.4,1.0,6.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,4.0,20,4.1,7208,36.0,68,72.2,38.0,12.7,1.0,12.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,7198,36.0,62,17.1,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7197,36.0,59,36.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.03,7203,36.0,53,68.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,10.0,20,10.04,7216,36.0,67,119.8,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,1.0,obstacle/vehicle,0
planter,8.0,20,8.05,7207,36.0,52,232.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,1.0,vehicle,0
planter,6.0,20,6.07,7203,36.0,54,359.6,0.0,0.0,0.0,0.0,0.7,benchx14,-,0.0,-,1.0,vehicle,0
planter,4.0,20,4.09,7195,36.0,70,229.9,0.0,0.0,0.0,0.0,1.0,benchx20,-,0.0,-,1.0,vehicle,0
car,20.0,20,20.02,7197,36.0,61,29.4,10.8,3.4,0.85,3.1,1.0,carx20,-,0.95,obstacle,1.0,obstacle/vehicle,0
car,15.0,20,15.03,7207,36.0,60,59.7,26.4,8.7,1.0,8.4,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,12.0,20,12.03,7211,36.0,60,104.3,40.3,13.5,1.0,13.5,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.04,7182,36.0,61,173.8,68.0,22.6,1.0,22.4,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.05,7223,36.0,60,313.4,109.8,36.6,1.0,36.6,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.07,7210,36.0,59,474.4,228.1,76.2,1.0,76.1,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.02,7191,36.0,67,2.9,2.4,0.7,0.0,0.0,1.0,personx20,-,0.0,-,0.0,-,0
person,15.0,20,15.03,7240,36.0,52,8.2,5.0,1.7,0.35,1.1,1.0,personx20,-,0.8,obstacle,0.0,-,0
person,12.0,20,12.03,7196,36.0,71,9.8,5.8,1.9,0.2,0.7,1.0,personx20,-,0.45,obstacle,0.55,obstacle,0
person,10.0,20,10.04,7225,36.0,59,16.8,10.3,3.3,0.8,3.0,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.05,7221,36.0,66,23.4,14.7,4.8,1.0,4.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.07,7188,36.0,52,47.9,26.9,8.9,1.0,8.9,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,4.0,20,4.1,7212,36.0,61,71.8,50.2,16.8,1.0,16.6,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
