object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,7209,36.0,148,1.6,0.9,0.3,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.03,7209,36.0,146,5.6,2.5,0.9,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
barrel,12.0,20,12.03,7214,36.0,135,8.9,4.8,1.5,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,10.0,20,10.04,7215,36.0,139,12.9,7.5,2.5,0.4,1.3,0.0,,-,0.8,obstacle,0.6,obstacle,0
barrel,8.0,20,8.05,7208,36.0,133,20.1,9.6,3.1,0.6,2.2,0.0,,-,0.9,obstacle,1.0,obstacle,0
barrel,6.0,20,6.07,7204,36.0,137,36.4,16.8,5.6,1.0,5.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,4.0,20,4.1,7226,36.0,136,42.9,28.8,9.8,1.0,9.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7185,36.0,140,4.1,2.3,0.8,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,15.0,20,15.03,7217,36.0,139,9.5,3.8,1.4,0.0,0.0,1.0,fire hydrantx20,-,0.0,-,0.0,-,0
cone,12.0,20,12.03,7193,36.0,139,13.0,6.2,1.8,0.3,0.9,0.0,,-,0.9,obstacle,0.85,obstacle,0
cone,10.0,20,10.04,7201,36.0,131,20.9,9.9,3.4,0.9,3.4,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,8.0,20,8.05,7218,36.0,132,34.4,12.5,4.2,1.0,4.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,7213,36.0,131,68.0,24.4,8.1,1.0,8.1,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,4.0,20,4.1,7184,36.0,138,69.3,43.4,14.6,1.0,14.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,7229,36.0,133,17.1,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7215,36.0,134,35.8,3.0,0.9,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.03,7234,36.0,132,69.2,6.5,2.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,10.0,20,10.04,7218,36.0,131,120.0,12.2,4.1,0.45,1.5,0.0,,-,0.7,obstacle,1.0,obstacle,0
planter,8.0,20,8.05,7206,36.0,130,234.2,18.6,6.0,1.0,6.0,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
planter,6.0,20,6.07,7215,36.0,134,358.5,30.3,10.4,0.95,8.7,0.7,benchx14,vehicle,0.9,vehicle,1.0,vehicle,0
planter,4.0,20,4.09,7176,36.0,130,221.4,11.4,3.9,0.9,3.4,1.0,benchx20,-,0.9,obstacle,1.0,vehicle,0
car,20.0,20,20.02,7252,36.0,130,31.5,12.4,4.0,0.95,3.7,1.0,carx20,-,0.95,obstacle,0.9,obstacle,0
car,15.0,20,15.03,7234,36.0,136,59.0,27.9,9.4,1.0,8.9,1.0,carx20,vehicle,0.95,vehicle,1.0,obstacle/vehicle,0
car,12.0,20,12.03,7207,36.0,129,102.7,42.4,14.1,1.0,14.2,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.04,7223,36.0,133,171.7,67.2,22.8,1.0,22.5,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.05,7203,36.0,126,317.9,111.4,37.2,1.0,36.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.07,7217,36.0,129,476.6,234.3,78.2,1.0,78.0,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.02,7228,36.0,131,2.9,2.3,0.8,0.0,0.0,1.0,personx20,-,0.0,-,0.0,-,0
person,15.0,20,15.03,7230,36.0,134,8.2,4.5,1.5,0.2,0.6,1.0,personx20,-,0.45,obstacle,0.4,obstacle,0
person,12.0,20,12.03,7204,36.0,127,9.8,6.4,2.0,0.4,1.2,1.0,personx20,-,0.9,obstacle,0.85,obstacle,0
person,10.0,20,10.04,7215,36.0,129,15.8,10.8,3.6,0.75,3.2,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.05,7200,36.0,125,23.6,15.8,5.2,1.0,5.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.07,7232,36.0,126,47.4,27.7,9.2,1.0,8.9,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,4.0,20,4.1,7231,36.0,129,68.8,54.3,17.9,1.0,18.4,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
