object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.59,8034,36.0,157,4.1,1.1,1.1,0.45,0.9,0.0,,-,0.8,obstacle,0.0,-,0
barrel,15.0,20,15.52,9035,36.0,150,7.0,3.1,3.1,0.8,2.5,0.0,,-,0.9,obstacle,0.0,-,0
barrel,12.0,20,12.47,8088,36.0,149,6.1,6.1,6.1,0.95,6.3,0.0,,-,0.95,obstacle,0.4,obstacle,0
barrel,10.0,20,10.43,8196,36.0,155,13.3,6.9,6.9,0.9,5.8,0.0,,-,0.9,obstacle,0.0,-,0
barrel,8.0,20,8.39,8775,36.0,155,23.9,12.1,12.1,1.0,12.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,6.0,20,6.38,8544,36.0,151,38.6,17.1,17.1,1.0,18.6,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.59,8437,36.0,149,6.9,2.8,2.8,0.8,2.7,0.0,,-,0.9,obstacle,0.0,-,0
cone,15.0,20,15.52,8294,36.0,149,11.5,6.0,6.0,0.95,5.7,0.0,,-,0.95,obstacle,0.0,-,0
cone,12.0,20,12.47,8622,36.0,149,15.7,8.1,8.1,1.0,7.8,0.0,,-,0.95,obstacle,0.1,obstacle,0
cone,10.0,20,10.43,8323,36.0,145,23.1,8.9,8.9,1.0,9.6,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,8.0,20,8.39,8364,36.0,151,36.6,16.6,16.6,1.0,18.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.38,8067,36.0,148,71.0,26.9,26.9,1.0,27.3,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.59,8618,36.0,149,14.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.52,8376,36.0,155,41.8,1.1,1.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.47,8529,36.0,152,80.0,7.0,7.0,0.6,3.0,0.0,,vehicle,0.8,obstacle/vehicle,0.0,-,0
planter,10.0,20,10.43,7926,36.0,146,118.3,10.6,10.6,0.25,1.3,0.0,,vehicle,0.75,obstacle/vehicle,0.0,-,0
planter,8.0,20,8.39,8008,36.0,145,234.3,18.0,18.0,0.0,0.0,0.0,,-,0.0,-,1.0,obstacle/vehicle,0
planter,6.0,20,6.38,8628,36.0,147,490.5,44.7,44.7,0.0,0.0,0.0,,-,0.0,-,0.2,vehicle,0
car,20.0,20,20.59,8205,36.0,146,31.4,16.6,16.6,1.0,16.2,0.0,,vehicle,0.95,obstacle/vehicle,0.95,obstacle,0
car,15.0,20,15.52,9269,36.0,148,81.3,37.2,37.2,1.0,24.4,0.0,,vehicle,0.95,obstacle/vehicle,1.0,vehicle,0
car,12.0,20,12.47,8929,36.0,148,118.1,42.2,42.2,1.0,41.0,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.43,9299,36.0,153,208.1,76.5,76.5,1.0,77.2,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.39,9365,36.0,162,358.3,120.5,120.5,1.0,148.3,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.38,8071,36.0,151,594.4,254.8,254.8,1.0,234.4,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.59,8876,36.0,151,6.5,3.5,3.5,0.9,3.3,0.0,,-,0.9,obstacle,0.0,-,0
person,15.0,20,15.52,8534,36.0,151,8.0,5.5,5.5,1.0,6.7,0.0,,-,0.95,obstacle,0.2,obstacle,0
person,12.0,20,12.47,9900,36.0,164,8.9,8.9,8.9,1.0,8.2,0.0,,-,0.95,obstacle,0.35,obstacle,0
person,10.0,20,10.43,9240,36.0,161,20.1,13.4,13.4,1.0,15.3,0.0,,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.39,9409,36.0,159,39.4,24.4,24.4,1.0,22.1,0.0,,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.38,9060,36.0,177,50.8,29.8,29.8,1.0,34.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
