object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.59,9675,36.0,176,5.3,1.7,0.7,0.1,0.2,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.52,8847,36.0,152,6.3,3.2,1.3,0.3,0.8,0.0,,-,0.15,obstacle,0.0,-,0
barrel,12.0,20,12.47,9470,36.0,153,5.9,5.9,2.1,0.35,1.4,0.0,,-,0.75,obstacle,0.0,-,0
barrel,10.0,20,10.43,9079,36.0,159,13.6,6.8,2.3,0.5,1.6,0.0,,-,0.95,obstacle,0.0,-,0
barrel,8.0,20,8.39,8728,36.0,149,22.8,10.6,3.6,0.7,3.2,0.0,,-,0.85,obstacle,1.0,obstacle,0
barrel,6.0,20,6.38,9109,36.0,143,43.9,19.6,7.0,1.0,7.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.59,8701,36.0,147,8.2,3.2,1.3,0.35,0.8,0.0,,-,0.75,obstacle,0.0,-,0
cone,15.0,20,15.52,8539,36.0,158,11.9,5.5,1.5,0.4,1.1,0.0,,-,0.55,obstacle,0.0,-,0
cone,12.0,20,12.47,9160,36.0,155,17.4,8.3,2.5,0.5,2.3,0.0,,-,0.85,obstacle,1.0,obstacle,0
cone,10.0,20,10.43,10454,36.0,174,31.6,13.2,4.4,0.85,3.6,0.0,,-,0.9,obstacle,0.55,obstacle,0
cone,8.0,20,8.39,9483,36.0,161,49.5,22.1,7.5,1.0,7.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.38,10355,36.0,164,82.0,30.7,9.9,1.0,9.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.59,9981,36.0,158,14.3,0.1,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.52,10537,36.0,162,55.1,1.9,0.6,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.47,10821,36.0,175,84.5,8.4,2.6,0.2,0.7,0.0,,-,0.7,obstacle,0.4,vehicle,0
planter,10.0,20,10.43,11851,36.0,191,179.9,16.2,5.2,0.45,2.0,0.0,,vehicle,0.7,vehicle,0.15,obstacle,0
planter,8.0,20,8.39,12144,36.0,205,351.6,26.5,8.6,0.4,1.9,0.0,,vehicle,0.95,obstacle/vehicle,0.0,-,0
planter,6.0,20,6.38,11103,36.0,183,566.5,53.0,17.4,0.0,0.0,0.0,,-,0.0,-,0.35,vehicle,0
car,20.0,20,20.59,11560,36.0,188,41.9,21.8,7.5,0.95,5.0,0.0,,vehicle,0.9,obstacle/vehicle,1.0,obstacle/vehicle,0
car,15.0,20,15.52,11290,36.0,182,90.3,41.0,13.4,1.0,12.9,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,12.0,20,12.47,11215,36.0,178,155.3,57.9,19.4,1.0,19.1,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.43,9737,36.0,162,238.2,89.8,30.2,1.0,27.8,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.38,9480,36.0,152,423.4,153.1,51.0,1.0,56.8,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.38,9257,36.0,161,633.9,268.4,89.2,1.0,89.5,0.0,,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.59,8738,36.0,150,5.8,3.0,0.8,0.2,0.4,0.0,,-,0.0,-,0.0,-,0
person,15.0,20,15.52,9067,36.0,150,8.7,5.5,1.6,0.6,1.6,0.0,,-,0.8,obstacle,0.5,obstacle,0
person,12.0,20,12.47,10042,36.0,160,9.5,9.5,3.0,0.65,2.5,0.0,,-,0.8,obstacle,1.0,obstacle,0
person,10.0,20,10.43,8629,36.0,154,17.7,11.9,3.9,0.9,3.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.38,9353,36.0,149,32.2,20.6,7.3,1.0,7.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.38,8788,36.0,155,56.3,31.8,10.1,1.0,9.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
