object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
trashbag,20.0,15,20.59,7034,36.0,124,3.3,0.7,0.7,0.07,0.1,0.0,,-,0.0,-,0.0,-,0
trashbag,15.0,15,15.52,6821,36.0,122,3.8,1.5,1.5,0.53,1.2,0.0,,-,0.8,obstacle,0.0,-,0
trashbag,12.0,15,12.47,6898,36.0,119,2.8,2.8,2.8,0.47,1.8,0.0,,-,0.67,obstacle,0.0,-,0
trashbag,10.0,15,10.43,6895,36.0,120,7.7,2.8,2.8,0.6,2.3,0.0,,-,0.87,obstacle,0.0,-,0
trashbag,8.0,15,8.39,6807,36.0,119,14.6,6.3,6.3,1.0,5.7,0.0,,-,0.93,obstacle,0.47,obstacle,0
trashbag,6.0,15,6.38,6830,36.0,118,24.0,8.3,8.3,1.0,7.7,0.0,,-,0.93,obstacle,0.87,obstacle,0
trolley,20.0,15,20.59,11052,36.0,184,6.1,1.6,1.6,0.33,1.1,0.0,,-,0.4,obstacle,0.0,-,0
trolley,15.0,15,15.52,10506,36.0,168,5.6,2.1,2.1,0.47,1.5,0.0,,-,0.73,obstacle,0.0,-,0
trolley,12.0,15,12.47,7630,36.0,130,2.2,2.2,2.2,0.33,1.2,0.0,,-,0.73,obstacle,0.0,-,0
trolley,10.0,15,10.43,7027,36.0,123,8.3,3.4,3.4,0.73,3.3,0.0,,-,0.93,obstacle,0.0,-,0
trolley,8.0,15,8.39,6855,36.0,124,13.9,4.5,4.5,1.0,5.5,0.0,,-,0.93,obstacle,0.0,-,0
trolley,6.0,15,6.38,6886,36.0,120,27.1,9.6,9.6,1.0,9.7,0.0,,-,0.93,obstacle,1.0,obstacle,0
bin,20.0,15,20.59,6847,36.0,121,4.7,2.2,2.2,0.6,1.7,0.0,,-,0.93,obstacle,0.0,-,0
bin,15.0,15,15.52,6814,36.0,117,7.5,4.3,4.3,0.87,4.0,0.0,,-,0.93,obstacle,0.0,-,0
bin,12.0,15,12.47,6837,36.0,122,8.6,7.1,7.1,1.0,7.1,0.0,,-,0.93,obstacle,0.87,obstacle,0
bin,10.0,15,10.43,7135,36.0,127,14.8,8.5,8.5,1.0,8.4,0.0,,-,0.93,obstacle,1.0,obstacle,0
bin,8.0,15,8.39,6976,36.0,129,27.5,16.6,16.6,1.0,15.0,0.0,,-,0.93,obstacle,1.0,obstacle,0
bin,6.0,15,6.38,7270,36.0,127,51.2,24.1,24.1,1.0,24.3,0.0,,-,0.93,obstacle,1.0,obstacle,0
bench,20.0,15,20.59,7155,36.0,124,6.7,2.1,2.1,0.8,2.0,0.0,,-,0.87,obstacle,0.0,-,0
bench,15.0,15,15.52,6910,36.0,126,8.8,2.1,2.1,0.67,1.8,0.0,,-,0.73,obstacle,0.0,-,0
bench,12.0,15,12.47,7050,36.0,124,15.3,3.3,3.3,0.8,3.1,0.0,,-,0.93,obstacle,0.0,-,0
bench,10.0,15,10.43,6842,36.0,121,20.6,4.7,4.7,0.93,4.7,0.0,,-,0.93,obstacle,0.0,-,0
bench,8.0,15,8.39,7104,36.0,121,43.3,9.3,9.3,1.0,8.9,0.0,,vehicle,0.93,obstacle/vehicle,1.0,obstacle/vehicle,0
bench,6.0,15,6.38,6870,36.0,109,85.0,17.0,17.0,1.0,17.1,0.0,,vehicle,0.93,vehicle,1.0,vehicle,0
dirt,20.0,15,20.59,6955,36.0,118,7.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
dirt,15.0,15,15.52,6902,36.0,117,8.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
dirt,12.0,15,12.47,6971,36.0,115,20.3,2.1,2.1,0.33,1.0,0.0,,-,0.53,obstacle,0.0,-,0
dirt,10.0,15,10.43,6912,36.0,112,28.4,2.9,2.9,0.53,1.8,0.0,,-,0.8,obstacle,0.0,-,0
dirt,8.0,15,8.39,6832,36.0,119,57.9,2.9,2.9,0.6,2.1,0.0,,-,0.93,obstacle,0.0,-,0
dirt,6.0,15,6.38,6952,36.0,117,109.8,7.6,7.6,1.0,7.5,0.0,,-,0.93,obstacle,1.0,obstacle,0
chain,20.0,15,20.59,6930,36.0,115,3.8,0.5,0.5,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
chain,15.0,15,15.52,6956,36.0,113,6.7,1.3,1.3,0.4,0.8,0.0,,-,0.8,obstacle,0.0,-,0
chain,12.0,15,12.47,6831,36.0,115,12.6,2.3,2.3,0.27,1.0,0.0,,-,0.4,obstacle,0.0,-,0
chain,10.0,15,10.43,6863,36.0,119,18.1,2.9,2.9,0.87,3.1,0.0,,-,0.87,obstacle,0.0,-,0
chain,8.0,15,8.39,6830,36.0,125,31.1,5.7,5.7,1.0,5.2,0.0,,-,0.93,obstacle,0.0,-,0
chain,6.0,15,6.38,6797,36.0,125,65.7,8.0,8.0,1.0,7.9,0.0,,vehicle,0.93,obstacle/vehicle,1.0,obstacle,0
