object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
trashbag,20.0,15,20.59,8481,36.0,152,3.3,0.9,0.6,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
trashbag,15.0,15,15.52,7559,36.0,139,4.9,1.9,0.7,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
trashbag,12.0,15,12.47,7361,36.0,146,2.5,2.5,0.7,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
trashbag,10.0,15,10.43,7881,36.0,148,8.3,2.9,1.1,0.07,0.2,0.0,,-,0.0,-,0.0,-,0
trashbag,8.0,15,8.39,7968,36.0,145,15.9,6.3,2.0,0.07,0.2,0.0,,-,0.0,-,0.0,-,0
trashbag,6.0,15,6.38,7665,36.0,141,25.1,8.1,2.8,0.47,1.6,0.0,,-,0.8,obstacle,0.53,obstacle,0
trolley,20.0,15,20.59,8260,36.0,139,3.1,0.6,0.3,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
trolley,15.0,15,15.52,8053,36.0,137,4.4,1.6,0.5,0.13,0.3,0.0,,-,0.0,-,0.0,-,0
trolley,12.0,15,12.47,7183,36.0,137,2.9,2.9,1.1,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
trolley,10.0,15,10.43,7618,36.0,135,9.3,3.9,1.4,0.13,0.4,0.0,,-,0.13,obstacle,0.0,-,0
trolley,8.0,15,8.39,7880,36.0,141,15.7,5.5,2.0,0.33,1.1,0.0,,-,0.8,obstacle,0.47,obstacle,0
trolley,6.0,15,6.38,7517,36.0,131,27.8,11.0,3.9,0.8,3.4,0.0,,-,0.93,obstacle,0.73,obstacle,0
bin,20.0,15,20.59,7514,36.0,134,5.0,2.1,0.7,0.2,0.4,0.0,,-,0.33,obstacle,0.0,-,0
bin,15.0,15,15.52,8260,36.0,143,9.7,5.3,2.1,0.67,1.5,0.0,,-,0.67,obstacle,0.0,-,0
bin,12.0,15,12.47,7562,36.0,134,9.0,7.3,2.7,0.6,1.8,0.0,,-,0.93,obstacle,0.53,obstacle,0
bin,10.0,15,10.43,7247,36.0,132,14.4,8.6,2.8,0.53,2.0,0.0,,-,0.73,obstacle,1.0,obstacle,0
bin,8.0,15,8.39,7882,36.0,142,35.7,20.9,7.1,1.0,7.1,0.0,,-,0.93,obstacle,1.0,obstacle,0
bin,6.0,15,6.38,7031,36.0,133,55.4,25.2,8.1,1.0,8.3,0.0,,-,0.93,obstacle,1.0,obstacle,0
bench,20.0,15,20.59,9048,36.0,175,8.5,2.2,0.7,0.13,0.3,0.0,,-,0.0,-,0.0,-,0
bench,15.0,15,15.52,7874,36.0,143,9.4,2.7,0.6,0.07,0.1,0.0,,-,0.0,-,0.0,-,0
bench,12.0,15,12.47,8548,36.0,148,17.2,4.1,1.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
bench,10.0,15,10.43,7376,36.0,133,22.6,5.4,2.1,0.27,0.8,0.0,,-,0.8,obstacle,0.0,-,0
bench,8.0,15,8.39,6875,36.0,123,40.6,8.4,2.9,0.67,2.4,0.0,,-,0.93,obstacle,1.0,obstacle,0
bench,6.0,15,6.38,7067,36.0,127,81.8,16.6,5.9,1.0,5.9,0.0,,-,0.93,obstacle,1.0,vehicle,0
dirt,20.0,15,20.59,6826,36.0,125,6.0,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
dirt,15.0,15,15.52,6822,36.0,122,7.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
dirt,12.0,15,12.47,6921,36.0,125,19.0,2.3,0.6,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
