object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.22,3986,22.5,87,1.1,0.6,0.2,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,15.0,20,15.29,5264,28.9,98,5.2,1.8,0.8,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,12.0,20,12.36,4147,23.6,96,4.2,1.9,0.6,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,10.0,20,10.43,4140,23.7,96,7.2,1.9,0.7,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
barrel,8.0,20,8.53,5625,28.4,100,15.7,5.0,1.5,0.25,0.8,0.0,,-,0.8,obstacle,0.0,-,0
barrel,6.0,20,6.7,4324,24.1,105,20.6,6.7,2.4,0.5,1.9,0.0,,-,0.85,obstacle,0.5,obstacle,0
barrel,4.0,20,4.98,5482,28.2,92,42.5,15.3,5.2,0.8,5.2,0.0,,-,0.8,obstacle,0.55,obstacle,0
cone,20.0,20,20.22,2966,17.4,97,2.3,0.8,0.2,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
cone,15.0,20,15.29,4383,24.3,75,6.5,2.9,1.1,0.15,0.5,0.0,,-,0.8,obstacle,0.0,-,0
cone,12.0,20,12.36,3169,18.6,63,5.7,2.2,0.7,0.05,0.1,0.0,,-,0.0,-,0.0,-,0
cone,10.0,20,10.43,3736,20.6,79,9.8,3.1,1.0,0.15,0.5,0.0,,-,0.25,obstacle,0.0,-,0
cone,8.0,20,8.53,3721,21.8,72,15.8,5.8,2.0,0.5,1.9,0.0,,-,0.8,obstacle,0.25,obstacle,0
cone,6.0,20,6.7,3612,20.8,81,32.2,9.4,3.1,0.6,3.1,0.0,,-,0.9,obstacle,1.0,obstacle,0
cone,4.0,20,4.98,3411,19.6,63,45.6,15.7,5.2,0.55,5.2,0.0,,-,0.85,obstacle,0.7,obstacle,0
planter,20.0,20,20.22,3029,16.8,70,6.7,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.29,2682,15.8,76,15.2,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,12.0,20,12.36,3883,22.5,75,32.9,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,10.0,20,10.43,3667,19.2,87,55.6,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,8.0,20,8.53,2393,13.3,99,75.8,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,6.0,20,6.7,3812,21.2,84,188.8,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,4.0,20,4.98,3928,20.6,85,244.9,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
car,20.0,20,20.22,4797,27.1,87,24.1,10.2,3.4,0.7,2.8,0.0,,-,0.9,obstacle,0.7,obstacle,0
car,15.0,20,15.29,3993,22.6,85,36.9,18.1,6.0,0.65,6.0,0.0,,vehicle,0.75,vehicle,1.0,vehicle,0
car,12.0,20,12.36,2975,17.1,86,47.8,18.7,6.2,0.45,6.2,0.0,,vehicle,0.95,vehicle,0.65,vehicle,0
car,10.0,20,10.43,3130,18.6,91,91.1,37.7,12.8,0.6,12.6,1.0,carx20,vehicle,0.85,vehicle,1.0,vehicle,0
car,8.0,20,8.53,4120,24.1,78,174.2,67.5,22.9,0.6,22.4,1.0,carx20,vehicle,0.8,vehicle,0.6,vehicle,0
car,6.0,20,6.7,3188,18.9,79,240.0,108.2,35.9,0.6,35.9,1.0,carx20,vehicle,0.9,vehicle,1.0,vehicle,0
car,4.0,20,4.98,3317,18.8,60,304.2,219.2,73.0,0.55,72.4,0.0,,vehicle,0.9,vehicle,0.7,vehicle,0
person,20.0,20,20.22,3741,19.6,92,1.6,1.4,0.5,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
person,15.0,20,15.29,2857,16.9,88,3.6,1.6,0.5,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
person,12.0,20,12.36,3228,18.2,75,2.9,2.6,0.7,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
person,10.0,20,10.43,3452,19.7,64,7.2,4.2,1.6,0.45,1.4,0.0,,-,0.7,obstacle,0.1,obstacle,0
person,8.0,20,8.53,3156,16.9,78,11.8,6.2,2.1,0.45,2.1,0.0,,-,0.9,obstacle,1.0,obstacle,0
person,6.0,20,6.7,3655,21.4,71,19.7,11.5,3.8,0.55,3.8,1.0,personx20,-,0.85,obstacle,0.5,obstacle,0
person,4.0,20,4.98,2786,15.2,86,25.3,14.4,5.0,0.3,3.6,0.0,,-,0.8,obstacle,1.0,obstacle,0
