object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,8007,36.0,147,2.3,1.1,1.1,0.35,0.8,0.0,,-,0.65,obstacle,0.2,obstacle,0
barrel,15.0,20,15.03,9056,36.0,163,7.6,3.3,3.3,0.55,2.4,0.0,,-,0.9,obstacle,1.0,obstacle,0
barrel,12.0,20,12.03,8840,36.0,150,12.6,6.7,6.7,1.0,6.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,10.0,20,10.04,9260,36.0,194,17.3,10.2,10.2,1.0,8.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,8.0,20,8.05,8911,36.0,218,20.9,9.9,9.9,1.0,9.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,6.0,20,6.07,8633,36.0,196,53.9,23.2,23.2,1.0,21.9,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7745,36.0,155,4.5,2.5,2.5,0.8,2.3,0.2,fire hydrantx4,-,0.9,obstacle,1.0,obstacle,0
cone,15.0,20,15.03,7701,36.0,148,9.4,4.2,4.2,0.75,3.6,0.0,,-,0.85,obstacle,1.0,obstacle,0
cone,12.0,20,12.03,7214,36.0,134,13.3,6.2,6.2,1.0,6.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,10.0,20,10.04,8015,36.0,160,28.1,14.0,14.0,1.0,13.4,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,8.0,20,8.05,8521,36.0,175,41.0,15.8,15.8,1.0,15.3,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,7414,36.0,141,72.4,26.9,26.9,1.0,28.1,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,8176,36.0,156,17.9,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7282,36.0,141,36.1,3.4,3.4,0.45,1.4,0.0,,-,0.85,obstacle,0.85,obstacle,0
planter,12.0,20,12.03,7258,36.0,147,68.1,5.2,5.2,0.75,3.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,10.0,20,10.04,7258,36.0,125,123.8,12.1,12.1,1.0,9.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,8.0,20,8.05,7368,36.0,132,235.1,18.9,18.9,1.0,17.4,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,6.0,20,6.07,7428,36.0,127,363.9,29.1,29.1,1.0,31.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
car,20.0,20,20.02,7492,36.0,127,30.4,12.1,12.1,1.0,12.4,1.0,carx20,vehicle,0.95,obstacle/vehicle,1.0,vehicle,0
car,15.0,20,15.03,7220,36.0,131,58.7,26.7,26.7,1.0,25.6,1.0,"carx20, truckx2",vehicle,0.95,vehicle,1.0,vehicle,0
car,12.0,20,12.03,7734,36.0,124,104.3,41.8,41.8,1.0,41.4,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.04,7226,36.0,127,173.9,68.1,68.1,1.0,69.5,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.05,7270,36.0,132,315.4,109.5,109.5,1.0,108.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.07,7199,36.0,121,470.3,232.4,232.4,1.0,232.9,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.02,7345,36.0,134,2.5,2.5,2.5,0.9,2.9,0.0,,-,0.85,obstacle,1.0,obstacle,0
person,15.0,20,15.03,7340,36.0,137,8.7,5.5,5.5,1.0,5.5,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,12.0,20,12.03,7317,36.0,139,12.1,8.2,8.2,1.0,8.2,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,10.0,20,10.04,7267,36.0,117,16.8,10.4,10.4,1.0,10.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.05,7274,36.0,121,24.4,16.2,16.2,1.0,16.0,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.07,7237,36.0,118,50.5,29.6,29.6,1.0,29.5,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
