object,distance_m,frames,true_dist_m,scan_pts,scan_cover_bins,row_ms,raw_pts,masked_pts,down_pts,cluster_frac,cluster_n,cam_any_frac,cam_classes,fused_cls,tracked_frac,tracked_type,stack_frac,stack_type,unhealthy_frames
barrel,20.0,20,20.02,7217,36.0,121,1.8,1.1,1.1,0.2,0.4,0.0,,-,0.45,obstacle,0.4,obstacle,0
barrel,15.0,20,15.03,7192,36.0,113,5.3,2.0,2.0,0.4,1.2,0.0,,-,0.8,obstacle,0.85,obstacle,0
barrel,12.0,20,12.03,7194,36.0,114,9.0,5.0,5.0,0.95,5.2,0.0,,-,0.9,obstacle,1.0,obstacle,0
barrel,10.0,20,10.04,7233,36.0,112,13.4,7.6,7.6,1.0,7.5,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,8.0,20,8.05,7279,36.0,118,19.1,8.9,8.9,1.0,8.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
barrel,6.0,20,6.07,7216,36.0,112,36.6,15.3,15.3,1.0,15.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,20.0,20,20.02,7218,36.0,109,3.4,1.7,1.7,0.6,1.4,0.0,,-,0.9,obstacle,1.0,obstacle,0
cone,15.0,20,15.03,7204,36.0,110,10.0,4.2,4.2,0.75,3.6,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,12.0,20,12.03,7216,36.0,110,12.7,6.3,6.3,1.0,6.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,10.0,20,10.04,7212,36.0,113,20.8,9.6,9.6,1.0,9.8,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,8.0,20,8.05,7223,36.0,117,36.1,13.3,13.3,1.0,13.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
cone,6.0,20,6.07,7202,36.0,112,70.1,25.8,25.8,1.0,25.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,20.0,20,20.02,7218,36.0,110,17.5,0.0,0.0,0.0,0.0,0.0,,-,0.0,-,0.0,-,0
planter,15.0,20,15.03,7216,36.0,113,35.8,3.2,3.2,0.55,1.7,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,12.0,20,12.03,7197,36.0,117,66.7,5.7,5.7,0.75,2.9,0.0,,-,0.9,obstacle,1.0,obstacle,0
planter,10.0,20,10.04,7240,36.0,117,117.7,12.4,12.4,1.0,9.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
planter,8.0,20,8.05,7304,36.0,112,240.9,18.4,18.4,1.0,18.4,1.0,benchx20,-,0.95,obstacle,1.0,obstacle,0
planter,6.0,20,6.07,7153,35.9,118,357.9,29.2,29.2,1.0,30.2,0.0,,-,0.95,obstacle,1.0,obstacle,0
car,20.0,20,20.02,7226,36.0,115,31.9,12.8,12.8,1.0,11.8,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,15.0,20,15.03,7210,36.0,110,59.9,27.8,27.8,1.0,28.0,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,12.0,20,12.03,7194,36.0,113,103.1,41.9,41.9,1.0,41.4,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,10.0,20,10.04,7214,36.0,112,176.4,68.6,68.6,1.0,69.0,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,8.0,20,8.05,7209,36.0,114,313.7,109.8,109.8,1.0,110.7,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
car,6.0,20,6.07,7232,36.0,111,477.7,233.8,233.8,1.0,235.4,1.0,carx20,vehicle,0.95,vehicle,1.0,vehicle,0
person,20.0,20,20.02,7214,36.0,111,3.0,3.0,3.0,0.95,3.0,0.0,,-,0.95,obstacle,1.0,obstacle,0
person,15.0,20,15.03,7206,36.0,114,8.3,5.0,5.0,0.95,4.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,12.0,20,12.03,7379,36.0,119,12.2,8.2,8.2,1.0,8.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,10.0,20,10.04,7202,36.0,112,17.5,11.4,11.4,1.0,11.3,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,8.0,20,8.05,7227,36.0,114,25.1,17.4,17.4,1.0,16.9,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
person,6.0,20,6.07,7264,36.0,114,50.5,28.8,28.8,1.0,28.8,1.0,personx20,-,0.95,obstacle,1.0,obstacle,0
