episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m
1,0.0,34.0,parked,1.08,0.1,4.1,,,,,24.6,-0.16
2,0.0,32.1,timeout,,,,,,,,-22.5,-0.06
3,0.0,31.9,parked,0.28,0.0,0.0,,,,,20.4,-1.16
4,0.0,32.6,parked,1.06,0.11,-2.9,,,,,-0.4,0.7
5,0.0,32.1,collision,,,8.7,static.vegetation,-6.16,0.33,2.67,5.2,0.78
6,0.0,30.3,parked,0.29,0.18,1.7,,,,,7.0,0.4
7,0.0,32.1,timeout,,,,,,,,-6.6,-0.07
8,0.0,32.2,parked,0.74,0.04,-1.0,,,,,18.2,-1.17
9,0.0,35.0,out_of_bounds,,,,,,,,-16.4,-0.21
10,0.0,32.1,parked,1.01,0.19,0.5,,,,,-11.2,0.99
11,0.0,32.6,parked,0.8,0.08,1.1,,,,,-21.2,1.12
12,0.0,31.4,parked,1.07,0.03,2.7,,,,,6.6,-1.36
13,0.0,29.1,parked,0.66,0.06,0.9,,,,,6.1,-0.96
14,0.0,32.1,parked,1.0,0.07,-2.7,,,,,13.9,-0.02
15,0.0,31.2,parked,1.12,0.12,-1.2,,,,,18.4,-1.33
16,0.0,26.6,timeout,,,,,,,,-6.2,0.39
17,0.0,30.3,parked,1.1,0.09,-0.0,,,,,-15.7,-0.95
18,0.0,32.2,parked,1.08,0.01,-1.6,,,,,-3.6,-0.52
19,0.0,30.4,parked,0.4,0.17,1.1,,,,,-9.1,-0.11
20,0.0,32.2,parked,0.74,0.07,-2.0,,,,,-1.5,-0.78
21,0.0,32.3,parked,0.78,0.14,0.2,,,,,-8.0,-1.43
22,0.0,30.5,parked,0.76,0.15,-1.7,,,,,-17.5,0.1
23,0.0,35.1,out_of_bounds,,,,,,,,1.3,0.8
24,0.0,32.2,collision,,,9.7,static.sidewalk,0.29,0.27,0.43,-17.6,-0.57
25,0.0,30.8,parked,0.69,0.07,2.5,,,,,10.6,-1.23
26,0.0,32.0,collision,,,9.6,static.static,-0.46,0.41,2.11,-5.1,1.23
27,0.0,32.1,parked,0.56,0.15,0.7,,,,,13.9,0.06
28,0.0,32.1,parked,1.05,0.09,1.4,,,,,21.0,0.32
29,0.0,32.4,out_of_bounds,,,,,,,,-16.9,-0.86
30,0.0,32.1,parked,1.07,0.01,-2.8,,,,,0.0,0.43
31,0.0,32.9,timeout,,,,,,,,2.4,1.24
32,0.0,32.2,collision,,,5.7,static.car,-30.46,-1.96,0.15,-19.0,0.32
33,0.0,32.2,timeout,,,,,,,,-24.6,0.39
34,0.0,32.1,parked,0.98,0.1,-3.4,,,,,7.1,0.63
35,0.0,32.2,parked,1.01,0.2,-0.4,,,,,-4.6,-0.55
36,0.0,27.4,timeout,,,,,,,,-2.6,0.64
37,0.0,32.7,parked,0.38,0.04,1.9,,,,,-3.7,0.12
38,0.0,32.1,parked,1.09,0.09,-1.1,,,,,22.0,-0.09
39,0.0,32.2,parked,1.07,0.06,-4.4,,,,,17.3,-0.58
40,0.0,32.3,parked,0.87,0.01,1.6,,,,,-17.3,-1.35
41,0.0,32.1,parked,1.07,0.06,-2.1,,,,,-4.9,0.51
42,0.0,28.8,timeout,,,,,,,,0.5,-0.84
43,0.0,32.3,timeout,,,,,,,,6.1,-1.22
44,0.0,30.6,parked,0.63,0.0,-2.7,,,,,-24.4,1.03
45,0.0,28.1,parked,0.99,0.21,0.6,,,,,-10.7,0.26
46,0.0,31.3,parked,0.97,0.19,0.2,,,,,17.5,-1.25
47,0.0,32.1,timeout,,,,,,,,23.0,1.16
48,0.0,30.3,timeout,,,,,,,,19.6,-1.21
49,0.0,32.1,parked,0.82,0.21,1.3,,,,,18.8,-0.42
50,0.0,32.2,parked,0.47,0.23,-0.4,,,,,4.6,-0.29
51,0.0,32.0,parked,0.81,0.16,2.0,,,,,-2.0,1.16
52,0.0,29.9,parked,1.12,0.0,-1.5,,,,,-0.9,-0.59
53,0.0,32.1,parked,0.69,0.02,-2.0,,,,,-3.0,0.64
54,0.0,32.1,parked,0.5,0.16,0.9,,,,,-8.8,-0.24
55,0.0,32.7,parked,0.6,0.11,0.8,,,,,-23.1,-0.1
56,0.0,32.0,parked,0.78,0.17,1.3,,,,,-6.4,1.22
57,0.0,32.1,parked,0.62,0.1,-2.7,,,,,9.5,0.63
58,0.0,32.0,timeout,,,,,,,,0.8,-0.72
59,0.0,32.1,parked,0.57,0.16,1.5,,,,,15.8,0.2
60,0.0,32.2,parked,0.84,0.15,-1.7,,,,,-21.3,0.16
