episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m
1,0.0,32.1,parked,1.08,0.19,1.2,,,,,-2.7,-0.2
2,0.0,32.2,parked,0.86,0.03,2.4,,,,,11.2,-0.76
3,0.0,31.4,parked,0.83,0.04,-4.9,,,,,-18.6,0.04
4,0.0,32.3,parked,1.12,0.22,1.0,,,,,-17.5,-1.14
5,0.0,32.1,parked,0.73,0.0,-1.7,,,,,13.3,0.26
6,0.0,32.2,parked,0.76,0.04,3.1,,,,,-5.0,-1.18
7,0.0,32.1,parked,1.09,0.01,3.6,,,,,-2.5,1.04
8,0.0,27.2,parked,0.9,0.09,-2.7,,,,,-8.1,0.87
9,0.0,32.1,parked,0.64,0.08,-4.2,,,,,-14.6,0.67
10,0.0,34.0,parked,0.18,0.0,-3.8,,,,,-24.1,0.05
11,0.0,32.3,parked,0.89,0.07,-3.0,,,,,-9.7,-1.08
12,0.0,32.2,parked,0.75,0.01,5.0,,,,,-22.6,-1.14
13,0.0,32.3,parked,1.05,0.01,-2.4,,,,,-8.3,-1.21
14,0.0,32.8,collision,,,47.2,static.vegetation,-30.93,-2.39,0.81,18.1,1.04
15,0.0,32.4,parked,1.04,0.1,0.2,,,,,7.7,-1.05
16,0.0,32.1,parked,0.69,0.17,-0.3,,,,,-17.8,0.38
17,0.0,32.0,timeout,,,,,,,,-16.5,1.35
18,0.0,26.7,parked,0.87,0.14,1.7,,,,,-8.4,-1.19
19,0.0,32.2,parked,0.41,0.13,3.3,,,,,9.3,-0.79
20,0.0,33.2,out_of_bounds,,,,,,,,-23.6,0.39
21,0.0,31.6,collision,,,5.1,static.static,-1.72,0.38,0.7,-15.5,0.04
22,0.0,32.1,parked,1.13,0.01,1.2,,,,,-10.3,-0.08
23,0.0,33.0,out_of_bounds,,,,,,,,3.3,0.06
24,0.0,32.1,parked,0.45,0.0,-5.0,,,,,-15.2,-0.32
25,0.0,32.1,parked,0.89,0.19,0.8,,,,,22.8,1.08
26,0.0,30.6,parked,1.04,0.24,0.5,,,,,16.3,0.82
27,0.0,32.2,parked,0.99,0.14,1.0,,,,,-15.3,-1.05
28,0.0,32.5,parked,1.01,0.17,1.4,,,,,-16.0,-0.97
29,0.0,32.3,parked,0.95,0.02,-0.8,,,,,14.9,-1.5
30,0.0,32.3,timeout,,,,,,,,7.3,-1.29
31,0.0,31.5,parked,1.09,0.18,-2.0,,,,,-19.2,-0.45
32,0.0,32.3,parked,1.03,0.06,4.2,,,,,13.3,-1.29
33,0.0,32.3,parked,1.01,0.18,-0.1,,,,,-0.5,-1.02
34,0.0,26.6,parked,0.92,0.26,-0.0,,,,,17.8,-0.03
35,0.0,28.5,timeout,,,,,,,,9.1,1.21
36,0.0,32.2,parked,1.04,0.05,1.9,,,,,-12.0,0.44
37,0.0,32.1,parked,1.05,0.27,0.1,,,,,14.5,0.12
38,0.0,29.0,parked,0.56,0.1,3.9,,,,,5.6,-0.75
39,0.0,32.1,parked,0.75,0.07,-1.0,,,,,-1.3,-0.15
40,0.0,32.1,parked,0.92,0.09,-1.1,,,,,20.6,0.73
41,0.0,29.6,parked,1.12,0.21,-0.9,,,,,-24.0,-1.4
42,0.0,32.3,parked,0.92,0.24,0.4,,,,,21.3,-1.33
43,0.0,28.7,parked,0.71,0.0,-4.0,,,,,-13.9,0.68
44,0.0,34.6,out_of_bounds,,,,,,,,-10.1,0.04
45,0.0,32.2,timeout,,,,,,,,-21.6,-0.87
46,0.0,32.1,parked,0.67,0.05,-1.1,,,,,-14.3,0.76
47,0.0,34.5,out_of_bounds,,,,,,,,16.1,-0.33
48,0.0,35.4,out_of_bounds,,,,,,,,19.4,1.29
49,0.0,32.2,parked,1.08,0.22,-0.3,,,,,-1.9,-1.0
50,0.0,32.1,parked,0.9,0.2,0.3,,,,,-16.2,0.68
51,0.0,32.2,parked,0.63,0.19,-1.8,,,,,4.8,-0.94
52,0.0,32.1,timeout,,,,,,,,14.5,0.16
53,0.0,30.4,parked,0.24,0.05,4.6,,,,,-10.6,-1.09
54,0.0,32.2,parked,0.86,0.07,0.2,,,,,16.5,-0.53
55,0.0,32.2,parked,0.93,0.06,2.6,,,,,13.2,-0.35
56,0.0,34.2,collision,,,10.9,static.static,-6.91,0.03,2.37,-13.4,0.91
57,0.0,32.2,parked,0.88,0.16,2.1,,,,,5.0,-0.87
58,0.0,31.7,parked,1.08,0.16,1.4,,,,,-21.5,-0.67
59,0.0,32.0,parked,1.09,0.13,-1.6,,,,,-23.6,1.29
60,0.0,32.1,parked,0.92,0.14,2.4,,,,,-6.1,-0.17
