episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m
1,0.0,32.9,out_of_bounds,,,,,,,,9.3,-1.47
2,0.0,40.2,timeout,,,,,,,,-13.0,-1.43
3,0.0,40.1,timeout,,,,,,,,-1.2,0.64
4,0.0,40.2,timeout,,,,,,,,-4.6,-0.79
5,0.0,39.9,collision,,,27.4,static.vegetation,-24.63,-0.22,0.32,-28.4,-0.46
6,0.0,37.1,collision,,,31.0,static.pole,-6.1,1.0,0.46,-18.8,-0.53
7,0.0,40.3,collision,,,55.5,static.building,-38.14,-0.99,0.74,26.5,-1.27
8,0.0,37.0,timeout,,,,,,,,-8.9,-0.82
9,0.0,43.1,out_of_bounds,,,,,,,,29.8,0.87
10,0.0,40.2,collision,,,48.1,static.vegetation,-35.95,-0.85,0.49,-25.5,-0.89
11,0.0,34.5,collision,,,21.0,static.static,-7.51,-0.06,2.28,33.4,0.07
12,0.0,40.0,collision,,,33.1,static.pole,-14.92,0.55,0.4,-35.1,0.93
13,0.0,40.0,collision,,,17.0,static.building,-3.5,1.09,0.4,-0.5,0.55
14,0.0,39.5,timeout,,,,,,,,9.0,0.32
15,0.0,40.2,collision,,,59.1,static.building,-38.16,-1.0,0.39,15.8,-0.96
16,0.0,40.3,collision,,,28.9,static.trafficsign,-7.86,0.37,1.88,24.5,-1.75
17,0.0,43.0,out_of_bounds,,,,,,,,9.9,-1.43
18,0.0,34.2,collision,,,31.9,static.pole,-6.86,-0.07,0.26,7.6,1.87
19,0.0,40.0,collision,,,32.2,static.vegetation,-6.89,0.57,1.02,6.8,1.48
20,0.0,35.6,timeout,,,,,,,,32.8,-0.51
21,0.0,43.0,out_of_bounds,,,,,,,,19.5,0.6
22,0.0,34.4,collision,,,32.7,static.pole,-19.51,0.36,0.22,18.2,0.3
23,0.0,29.3,out_of_bounds,,,,,,,,39.9,1.69
24,0.0,37.7,timeout,,,,,,,,15.1,1.44
25,0.0,42.2,out_of_bounds,,,,,,,,-33.3,-0.44
26,0.0,32.1,out_of_bounds,,,,,,,,25.6,-1.23
27,0.0,40.0,timeout,,,,,,,,-39.3,1.11
28,0.0,31.3,out_of_bounds,,,,,,,,-19.6,0.28
29,0.0,40.1,collision,,,33.0,static.vegetation,-34.68,-0.52,2.95,-32.2,-0.27
30,0.0,37.0,collision,,,25.2,static.static,-17.68,-0.2,0.4,-9.9,-0.71
31,0.0,37.0,collision,,,16.9,static.vegetation,-7.42,0.11,2.91,22.3,-1.27
32,0.0,43.1,out_of_bounds,,,,,,,,18.7,1.34
33,0.0,40.3,collision,,,21.4,static.trafficsign,-1.23,0.56,0.35,-22.6,-1.74
34,0.0,40.3,timeout,,,,,,,,-17.1,-1.61
35,0.0,35.9,timeout,,,,,,,,38.4,1.55
36,0.0,40.3,timeout,,,,,,,,28.1,-1.95
37,0.0,33.5,timeout,,,,,,,,-24.5,1.17
38,0.0,40.2,collision,,,0.7,static.sidewalk,1.24,0.63,0.04,6.7,-1.55
39,0.0,41.1,collision,,,26.5,static.static,-5.3,0.28,0.36,25.4,1.99
40,0.0,40.8,collision,,,75.1,static.pole,-39.94,-3.66,0.27,38.6,-0.33
41,0.0,38.0,timeout,,,,,,,,2.7,1.54
42,0.0,40.2,collision,,,23.6,static.vegetation,-15.51,-0.15,1.32,-37.5,-0.87
43,0.0,37.8,timeout,,,,,,,,23.6,-0.56
44,0.0,33.7,collision,,,25.1,static.static,-10.64,-0.0,0.48,-15.3,1.6
45,0.0,39.9,collision,,,15.2,static.vegetation,-11.16,0.16,1.84,14.0,-1.83
46,0.0,36.1,collision,,,15.9,static.pole,-1.82,0.96,0.59,-13.8,-1.79
47,0.0,33.8,timeout,,,,,,,,-29.0,-0.43
48,0.0,35.2,collision,,,20.0,static.pole,-4.09,0.72,0.13,-4.4,0.84
