episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,23.3,parked,0.69,0.12,3.3,,,,
2,0.0,24.1,parked,0.78,0.15,2.0,,,,
3,0.0,24.2,parked,0.92,0.14,1.4,,,,
4,0.0,24.2,parked,0.99,0.17,2.4,,,,
5,0.0,24.2,parked,0.79,0.15,0.5,,,,
6,0.0,22.6,parked,1.03,0.11,-2.4,,,,
7,0.0,24.2,parked,0.9,0.13,2.1,,,,
8,0.0,25.7,parked,1.05,0.17,-1.9,,,,
9,0.0,24.1,parked,1.1,0.24,-0.7,,,,
10,0.0,24.2,parked,1.04,0.07,-1.6,,,,
11,0.0,24.2,parked,1.0,0.16,-1.2,,,,
12,0.0,23.6,parked,0.92,0.06,-2.2,,,,
13,0.0,24.2,parked,0.97,0.2,0.6,,,,
14,0.0,24.2,parked,0.88,0.18,-1.2,,,,
15,0.0,24.1,parked,1.05,0.16,-0.9,,,,
16,0.0,24.2,parked,0.9,0.21,1.5,,,,
17,0.0,24.4,parked,0.82,0.03,2.7,,,,
18,0.0,24.1,parked,0.93,0.19,-1.9,,,,
19,0.0,24.2,parked,0.67,0.14,2.6,,,,
20,0.0,21.4,parked,1.04,0.19,1.1,,,,
21,0.0,23.0,parked,1.1,0.11,-1.9,,,,
22,0.0,24.2,parked,1.13,0.03,-1.4,,,,
23,0.0,24.1,parked,1.11,0.19,0.7,,,,
24,0.0,23.1,parked,0.89,0.12,-2.9,,,,
25,0.0,24.1,parked,1.03,0.12,-0.8,,,,
26,0.0,24.2,parked,0.77,0.19,0.9,,,,
27,0.0,24.2,parked,0.93,0.19,0.4,,,,
28,0.0,24.2,parked,0.98,0.23,-1.0,,,,
29,0.0,23.7,parked,1.0,0.24,-0.8,,,,
30,0.0,25.0,parked,1.03,0.19,2.0,,,,
