episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,23.3,parked,0.56,0.19,-0.9,,,,
2,0.0,24.2,parked,0.5,0.19,-0.9,,,,
3,0.0,22.4,parked,0.49,0.18,-1.0,,,,
4,0.0,24.1,parked,1.02,0.24,0.6,,,,
5,0.0,23.4,parked,1.02,0.24,0.6,,,,
6,0.0,24.2,parked,1.03,0.25,0.5,,,,
7,0.0,24.2,parked,1.03,0.25,0.5,,,,
8,0.0,22.6,parked,1.04,0.24,0.6,,,,
9,0.0,22.9,parked,0.5,0.19,-1.0,,,,
10,0.0,24.2,parked,1.03,0.25,0.5,,,,
11,0.0,24.2,parked,0.48,0.18,-0.9,,,,
12,0.0,24.2,parked,0.98,0.23,0.9,,,,
13,0.0,23.8,parked,1.02,0.24,0.5,,,,
14,0.0,24.2,parked,0.5,0.19,-1.0,,,,
15,0.0,24.2,parked,0.5,0.19,-0.9,,,,
16,0.0,24.2,parked,1.0,0.24,0.6,,,,
17,0.0,24.6,parked,1.03,0.08,2.8,,,,
18,0.0,25.2,parked,1.02,0.25,0.6,,,,
19,0.0,24.1,parked,1.01,0.24,0.6,,,,
20,0.0,24.2,parked,1.01,0.25,0.5,,,,
21,0.0,24.2,parked,0.46,0.18,-0.9,,,,
22,0.0,24.1,parked,0.49,0.18,-1.0,,,,
23,0.0,24.2,parked,1.01,0.25,0.6,,,,
24,0.0,24.2,parked,0.51,0.18,-0.9,,,,
25,0.0,24.2,parked,0.53,0.19,-0.9,,,,
26,0.0,24.2,parked,1.01,0.24,0.6,,,,
27,0.0,24.2,parked,0.52,0.18,-0.9,,,,
28,0.0,24.2,parked,0.51,0.19,-0.9,,,,
29,0.0,24.2,parked,0.47,0.18,-1.0,,,,
30,0.0,24.2,parked,0.49,0.16,-1.2,,,,
