episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,16.0,parked,0.79,0.05,-3.4,,,,
2,0.0,16.2,parked,1.07,0.07,2.5,,,,
3,0.0,16.3,parked,0.94,0.14,1.2,,,,
4,0.0,16.3,parked,1.06,0.18,1.0,,,,
5,0.0,16.2,parked,0.86,0.18,0.3,,,,
6,0.0,16.5,parked,0.93,0.15,-0.3,,,,
7,0.0,16.3,parked,0.85,0.23,0.8,,,,
8,0.0,16.3,parked,1.07,0.18,1.6,,,,
9,0.0,16.3,parked,1.07,0.17,2.1,,,,
10,0.0,16.3,parked,0.92,0.2,0.9,,,,
11,0.0,16.2,parked,0.89,0.26,-0.1,,,,
12,0.0,16.3,parked,1.04,0.12,3.4,,,,
13,0.0,16.2,parked,1.06,0.08,2.3,,,,
14,0.0,16.3,parked,1.06,0.03,3.4,,,,
15,0.0,16.3,parked,0.91,0.23,-0.4,,,,
16,0.0,16.2,parked,1.1,0.17,0.5,,,,
17,0.0,16.3,parked,0.65,0.13,1.2,,,,
18,0.0,16.3,parked,0.64,0.05,1.2,,,,
19,0.0,16.3,parked,0.79,0.24,0.2,,,,
20,0.0,16.2,parked,0.87,0.04,-2.1,,,,
21,0.0,16.1,parked,1.02,0.18,1.6,,,,
22,0.0,16.3,parked,1.09,0.16,1.4,,,,
23,0.0,16.2,parked,1.09,0.13,-1.9,,,,
24,0.0,16.2,parked,0.98,0.11,2.0,,,,
25,0.0,16.2,parked,1.08,0.24,-0.5,,,,
26,0.0,15.2,parked,1.06,0.04,-5.1,,,,
27,0.0,16.3,parked,0.86,0.18,1.8,,,,
28,0.0,16.3,parked,1.07,0.16,2.5,,,,
29,0.0,16.2,parked,0.8,0.14,2.8,,,,
30,0.0,16.3,parked,0.74,0.12,1.0,,,,
