episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,16.1,parked,1.01,0.21,1.0,,,,
2,0.0,15.1,parked,0.49,0.18,-0.9,,,,
3,0.0,16.3,parked,1.0,0.22,1.0,,,,
4,0.0,16.2,parked,1.01,0.22,0.9,,,,
5,0.0,16.4,parked,1.04,0.2,1.2,,,,
6,0.0,16.0,parked,0.5,0.19,-0.7,,,,
7,0.0,16.2,parked,1.02,0.22,1.0,,,,
8,0.0,16.3,parked,1.0,0.22,1.0,,,,
9,0.0,16.1,parked,1.01,0.23,0.9,,,,
10,0.0,16.2,parked,0.5,0.18,-0.6,,,,
11,0.0,16.2,parked,1.03,0.22,1.0,,,,
12,0.0,16.4,parked,1.03,0.2,1.2,,,,
13,0.0,16.2,parked,1.04,0.21,1.0,,,,
14,0.0,16.3,parked,1.04,0.21,1.0,,,,
15,0.0,16.2,parked,1.0,0.24,0.8,,,,
16,0.0,16.3,parked,0.49,0.19,-0.6,,,,
17,0.0,16.3,parked,0.54,0.19,-0.5,,,,
18,0.0,16.2,parked,1.01,0.22,0.9,,,,
19,0.0,16.3,parked,1.02,0.21,1.0,,,,
20,0.0,16.2,parked,0.45,0.18,-0.7,,,,
21,0.0,16.2,parked,1.04,0.23,0.9,,,,
22,0.0,16.2,parked,0.49,0.19,-0.6,,,,
23,0.0,16.1,parked,1.0,0.23,0.8,,,,
24,0.0,16.2,parked,1.03,0.22,0.8,,,,
25,0.0,16.4,parked,1.0,0.21,1.2,,,,
26,0.0,16.3,parked,1.02,0.22,1.0,,,,
27,0.0,16.2,parked,1.0,0.23,0.9,,,,
28,0.0,15.8,parked,1.0,0.22,0.9,,,,
29,0.0,16.4,parked,1.01,0.21,1.1,,,,
30,0.0,16.2,parked,0.49,0.18,-0.7,,,,
