episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,16.2,parked,0.51,0.19,-0.6,,,,
2,0.0,16.3,parked,1.05,0.22,0.9,,,,
3,0.0,16.2,parked,1.0,0.22,0.9,,,,
4,0.0,16.2,parked,0.48,0.18,-0.6,,,,
5,0.0,16.2,parked,1.0,0.22,0.9,,,,
6,0.0,16.3,parked,1.05,0.22,0.9,,,,
7,0.0,16.2,parked,0.51,0.19,-0.6,,,,
8,0.0,16.2,parked,0.5,0.19,-0.6,,,,
9,0.0,16.2,parked,1.0,0.22,1.0,,,,
10,0.0,16.3,parked,1.03,0.21,1.0,,,,
11,0.0,15.3,parked,1.03,0.23,0.8,,,,
12,0.0,16.9,parked,0.51,0.19,-0.5,,,,
13,0.0,16.2,parked,1.01,0.22,1.0,,,,
14,0.0,16.2,parked,0.5,0.19,-0.6,,,,
15,0.0,16.2,parked,1.01,0.22,1.0,,,,
16,0.0,16.3,parked,1.01,0.22,0.9,,,,
17,0.0,16.2,parked,0.99,0.22,0.9,,,,
18,0.0,16.3,parked,1.02,0.22,1.0,,,,
19,0.0,16.3,parked,1.04,0.22,0.9,,,,
20,0.0,16.3,parked,1.02,0.21,1.0,,,,
21,0.0,16.3,parked,1.01,0.21,1.0,,,,
22,0.0,16.3,parked,1.02,0.21,1.0,,,,
23,0.0,16.3,parked,0.49,0.04,2.0,,,,
24,0.0,16.3,parked,1.03,0.22,1.0,,,,
25,0.0,16.2,parked,1.0,0.22,0.9,,,,
26,0.0,16.2,parked,0.51,0.19,-0.6,,,,
27,0.0,16.2,parked,1.01,0.22,0.9,,,,
28,0.0,16.2,parked,0.51,0.19,-0.6,,,,
29,0.0,16.3,parked,1.03,0.22,1.0,,,,
30,0.0,16.3,parked,1.02,0.21,1.0,,,,
