episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed
1,0.0,16.2,parked,1.0,0.22,0.9,,,,
2,0.0,16.3,collision,,,6.3,static.car,-6.34,-0.26,0.74
3,0.0,16.8,parked,1.02,0.21,1.2,,,,
4,0.0,16.2,parked,1.0,0.22,0.9,,,,
5,0.0,16.3,parked,1.01,0.22,0.9,,,,
6,0.0,16.3,parked,1.02,0.22,1.0,,,,
7,0.0,16.3,parked,1.02,0.21,1.0,,,,
8,0.0,16.3,parked,1.02,0.22,0.9,,,,
9,0.0,16.2,collision,,,22.8,static.motorcycle,-14.2,-1.56,0.69
10,0.0,16.3,parked,0.49,0.19,-0.6,,,,
11,0.0,16.2,collision,,,0.3,static.motorcycle,0.05,-0.03,0.02
12,0.0,16.3,parked,1.02,0.21,1.0,,,,
13,0.0,16.3,parked,1.01,0.21,1.0,,,,
14,0.0,16.1,parked,1.01,0.22,1.0,,,,
15,0.0,16.2,parked,0.99,0.22,0.9,,,,
16,0.0,16.2,parked,0.56,0.19,-0.5,,,,
17,0.0,16.3,parked,1.05,0.22,0.9,,,,
18,0.0,16.2,parked,0.5,0.18,-0.6,,,,
19,0.0,16.2,parked,0.5,0.19,-0.6,,,,
20,0.0,16.3,collision,,,4.7,static.car,-4.73,-0.14,0.55
21,0.0,16.2,parked,0.52,0.19,-0.6,,,,
22,0.0,16.3,parked,1.05,0.22,0.9,,,,
23,0.0,16.2,collision,,,14.9,static.motorcycle,-11.8,-0.9,0.32
24,0.0,16.3,collision,,,6.0,static.car,-6.13,-0.24,0.56
25,0.0,16.3,parked,1.03,0.22,1.0,,,,
26,0.0,16.2,collision,,,14.6,static.car,-15.37,-2.29,0.31
27,0.0,16.3,collision,,,15.3,static.car,-11.36,-0.9,0.29
28,0.0,16.3,collision,,,4.8,static.car,-4.76,-0.14,0.62
29,0.0,16.2,parked,0.99,0.22,0.9,,,,
30,0.0,16.2,parked,1.01,0.23,0.9,,,,
