sample,kerb_found,bays_found,nearest_x,nearest_len,side_err_m,heading_err_deg,overlaps_parked_vehicle,decor_vehicles_in_view,lane_width,points
1,True,2,-1.99,20.0,1.4,0.4,False,0,2.0,6704
2,True,2,2.22,15.5,0.99,-1.0,False,0,2.0,7131
3,True,2,3.65,9.5,1.06,-3.5,True,2,2.0,6725
4,True,3,1.26,26.5,1.26,0.4,True,4,2.0,7457
5,True,1,18.27,43.5,1.54,1.0,False,0,2.0,6783
6,True,3,-6.54,11.0,1.19,-1.6,False,1,2.0,6721
7,True,2,0.26,24.5,1.26,0.6,False,0,2.0,6804
8,True,2,-0.77,10.5,1.2,-0.7,False,3,2.0,7239
9,True,2,-2.56,8.0,0.98,-2.2,False,0,2.0,7246
10,True,2,0.26,13.5,1.4,0.5,False,0,2.0,7357
11,True,2,-0.79,15.5,0.96,-1.5,False,0,2.0,7415
12,True,1,27.25,25.5,0.31,-0.0,False,0,2.5,7741
13,True,1,24.0,32.0,1.55,0.1,False,2,2.0,7424
14,True,3,6.28,19.5,1.53,1.3,False,0,2.0,6990
15,True,1,28.7,22.5,0.28,-1.5,False,0,2.0,6944
16,True,3,3.01,16.0,1.16,0.2,False,0,2.5,7202
17,True,3,6.76,13.5,1.19,0.5,False,0,2.0,7124
18,True,2,2.26,19.5,1.52,0.5,False,0,2.5,6998
19,True,1,22.24,35.5,1.05,-0.4,True,3,2.0,7332
20,True,3,-5.53,13.0,1.18,-1.3,False,3,2.0,6210
21,True,3,-6.29,11.5,1.19,-1.4,False,0,2.0,7151
22,True,2,-6.78,10.5,1.49,-1.0,False,0,2.5,6983
23,True,2,-6.98,10.0,1.46,0.8,False,3,2.0,7488
24,True,2,-7.52,9.0,1.42,-0.9,False,0,2.5,7101
25,True,3,-6.03,12.0,1.19,-1.3,False,0,2.0,7202
26,True,1,15.26,49.5,1.37,0.5,False,0,2.0,7196
27,True,1,24.51,31.0,1.51,0.4,True,4,2.0,7388
28,True,3,-1.5,19.0,1.25,-0.0,False,0,2.0,7023
29,True,2,-6.72,10.5,1.09,0.9,True,4,2.0,7458
30,True,2,-6.46,11.0,1.2,1.5,False,0,2.0,7212
31,True,2,-4.26,10.5,1.23,-0.3,False,0,2.0,7204
32,True,3,-6.01,12.0,1.26,-0.5,False,0,2.0,7050
33,True,2,-1.48,12.0,1.28,0.9,False,1,2.5,7534
34,True,3,-6.28,11.5,1.13,-1.3,False,0,2.0,6665
35,True,2,-5.05,14.0,1.55,-2.1,False,0,2.5,7677
36,True,2,3.76,19.5,1.24,0.2,False,0,2.0,7041
37,True,1,19.73,40.5,1.08,-0.7,False,0,2.5,6891
38,True,2,6.01,17.0,1.16,0.5,False,0,2.0,7295
39,True,2,7.22,11.5,0.88,-1.0,False,0,2.0,7374
40,True,2,-5.25,13.5,1.41,0.0,False,0,2.0,7305
