episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,16.0,collision,,,10.2,vehicle.tesla.model3,-15.06,-2.25,0.12,-1.1,0.0,1
2,0.0,15.3,parked,1.09,0.25,0.2,,,,,2.3,0.0,1
3,0.0,16.2,collision,,,12.2,vehicle.dodge.charger_police_2020,-15.36,-2.32,0.35,0.3,0.0,1
4,0.0,16.3,collision,,,16.4,vehicle.chevrolet.impala,-15.23,-2.43,0.28,1.5,0.0,1
5,0.0,15.9,collision,,,8.1,vehicle.nissan.patrol_2021,-15.1,-2.3,0.12,0.7,0.0,1
6,0.0,16.2,collision,,,11.5,vehicle.audi.etron,-15.38,-2.34,0.23,-0.3,0.0,1
7,0.0,16.3,collision,,,15.8,vehicle.lincoln.mkz_2020,-15.23,-2.44,0.21,1.1,0.0,1
8,0.0,16.3,collision,,,14.8,vehicle.mini.cooper_s_2021,-15.38,-2.54,0.28,2.9,0.0,1
9,0.0,16.2,collision,,,12.9,vehicle.audi.tt,-15.5,-2.39,0.32,3.0,0.0,1
10,0.0,16.3,collision,,,15.6,vehicle.citroen.c3,-15.03,-2.35,0.32,-2.5,0.0,1
11,0.0,16.3,collision,,,12.2,vehicle.volkswagen.t2,-15.22,-2.51,0.13,-2.2,0.0,1
12,0.0,16.2,collision,,,10.6,vehicle.nissan.patrol,-15.26,-2.29,0.47,-1.1,0.0,1
13,0.0,16.1,collision,,,10.0,vehicle.toyota.prius,-14.96,-2.2,0.22,-0.2,0.0,1
14,0.0,16.2,collision,,,12.9,vehicle.ford.crown,-15.32,-2.29,0.22,-0.0,0.0,1
15,0.0,16.3,collision,,,16.1,vehicle.volkswagen.t2_2021,-15.12,-2.38,0.26,-0.6,0.0,1
16,0.0,16.2,collision,,,14.0,vehicle.ford.crown,-15.31,-2.28,0.54,0.4,0.0,1
17,0.0,16.3,collision,,,15.9,vehicle.dodge.charger_police_2020,-15.28,-2.47,0.2,1.8,0.0,1
18,0.0,16.2,collision,,,13.4,vehicle.ford.crown,-15.41,-2.33,0.16,1.9,0.0,1
19,0.0,15.3,parked,1.09,0.25,0.2,,,,,1.3,0.0,1
20,0.0,16.2,collision,,,12.5,vehicle.dodge.charger_2020,-15.38,-2.32,0.3,0.8,0.0,1
21,0.0,16.3,collision,,,16.0,vehicle.citroen.c3,-15.07,-2.36,0.16,-1.5,0.0,1
22,0.0,16.3,collision,,,15.9,vehicle.dodge.charger_2020,-15.27,-2.46,0.2,1.8,0.0,1
23,0.0,16.3,collision,,,12.6,vehicle.lincoln.mkz_2020,-15.4,-2.33,0.4,-0.4,0.0,1
24,0.0,16.3,parked,1.14,0.25,0.3,,,,,-2.8,0.0,1
25,0.0,16.3,collision,,,17.2,vehicle.ford.mustang,-15.26,-2.43,0.07,2.6,0.0,1
26,0.0,16.3,collision,,,13.2,vehicle.dodge.charger_police_2020,-15.47,-2.35,0.28,1.2,0.0,1
27,0.0,16.3,collision,,,17.4,vehicle.nissan.micra,-15.21,-2.4,0.14,1.8,0.0,1
28,0.0,16.3,collision,,,15.6,vehicle.mercedes.coupe_2020,-15.11,-2.39,0.3,-1.1,0.0,1
29,0.0,16.3,collision,,,15.9,vehicle.ford.crown,-15.24,-2.45,0.23,1.1,0.0,1
30,0.0,16.3,collision,,,12.7,vehicle.mini.cooper_s,-15.42,-2.33,0.33,-0.3,0.0,1
