episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,16.3,collision,,,14.9,vehicle.tesla.model3,-12.02,-1.48,0.49,2.7,0.0,1,0,behind1
2,0.0,15.3,collision,,,-5.8,vehicle.mitsubishi.fusorosa,-15.14,-1.98,0.03,2.3,0.0,1,0,behind1
3,0.0,16.2,collision,,,13.2,vehicle.seat.leon,-11.83,-1.4,0.49,1.7,0.0,1,0,behind1
4,0.0,16.3,collision,,,14.6,vehicle.toyota.prius,-11.9,-1.45,0.58,1.5,0.0,1,0,behind1
5,0.0,15.9,collision,,,13.0,vehicle.mercedes.coupe_2020,-12.02,-1.42,0.75,0.7,0.0,1,0,behind1
6,0.0,16.2,collision,,,13.5,vehicle.nissan.patrol_2021,-12.38,-1.49,0.73,-0.3,0.0,1,0,behind1
7,0.0,16.3,collision,,,15.0,vehicle.ford.mustang,-12.13,-1.49,0.69,1.1,0.0,1,0,behind1
8,0.0,16.3,collision,,,14.7,vehicle.nissan.patrol,-12.04,-1.54,0.38,2.9,0.0,1,0,behind1
9,0.0,16.3,collision,,,14.9,vehicle.lincoln.mkz_2017,-12.06,-1.49,0.41,0.8,0.0,1,0,behind1
10,0.0,16.2,collision,,,12.9,vehicle.citroen.c3,-11.8,-1.38,0.59,0.2,0.0,1,0,behind1
11,0.0,16.2,collision,,,12.7,vehicle.volkswagen.t2_2021,-11.88,-1.39,0.46,-1.1,0.0,1,0,behind1
12,0.0,16.1,collision,,,12.4,vehicle.audi.tt,-11.85,-1.38,0.43,-0.2,0.0,1,0,behind1
13,0.0,16.2,collision,,,12.5,vehicle.volkswagen.t2_2021,-11.89,-1.39,0.46,0.3,0.0,1,0,behind1
14,0.0,16.3,collision,,,14.5,vehicle.volkswagen.t2_2021,-11.84,-1.43,0.74,1.8,0.0,1,0,behind1
15,0.0,16.3,collision,,,14.9,vehicle.ford.crown,-12.17,-1.5,0.64,-0.6,0.0,1,0,behind1
16,0.0,16.2,collision,,,13.4,vehicle.dodge.charger_2020,-12.1,-1.45,0.61,0.4,0.0,1,0,behind1
17,0.0,16.2,collision,,,13.3,vehicle.dodge.charger_police_2020,-12.1,-1.44,0.61,0.5,0.0,1,0,behind1
18,0.0,15.8,collision,,,13.5,vehicle.ford.crown,-12.22,-1.47,0.46,2.8,0.0,1,0,behind1
19,0.0,15.3,collision,,,8.4,vehicle.mini.cooper_s,-11.73,-1.23,0.68,1.3,0.0,1,0,behind1
20,0.0,16.3,collision,,,14.6,vehicle.volkswagen.t2_2021,-11.86,-1.44,0.58,2.3,0.0,1,0,behind1
21,0.0,16.3,collision,,,14.8,vehicle.volkswagen.t2,-12.05,-1.48,0.44,1.0,0.0,1,0,behind1
22,0.0,16.3,collision,,,13.9,vehicle.jeep.wrangler_rubicon,-11.56,-1.36,0.27,-1.5,0.0,1,0,behind1
23,0.0,16.3,collision,,,14.8,vehicle.tesla.model3,-12.03,-1.48,0.4,0.3,0.0,1,0,behind1
24,0.0,16.3,collision,,,14.1,vehicle.jeep.wrangler_rubicon,-11.54,-1.37,0.27,1.8,0.0,1,0,behind1
25,0.0,16.3,collision,,,14.1,vehicle.audi.a2,-11.58,-1.38,0.62,2.0,0.0,1,0,behind1
26,0.0,16.3,collision,,,15.0,vehicle.dodge.charger_2020,-12.12,-1.5,0.45,1.8,0.0,1,0,behind1
27,0.0,15.7,collision,,,7.3,vehicle.dodge.charger_2020,-12.12,-1.26,0.75,-1.4,0.0,1,0,behind1
28,0.0,16.3,collision,,,14.5,vehicle.seat.leon,-11.83,-1.44,0.42,1.8,0.0,1,0,behind1
29,0.0,16.2,collision,,,13.7,vehicle.dodge.charger_police,-12.26,-1.48,0.57,2.0,0.0,1,0,behind1
30,0.0,16.2,collision,,,13.1,vehicle.volkswagen.t2,-12.04,-1.43,0.65,-0.4,0.0,1,0,behind1
