episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,29.2,parked,1.07,0.17,0.7,,,,,2.7,0.0,1,0,behind3
2,0.0,26.9,parked,1.05,0.18,0.5,,,,,2.3,0.0,0,0,
3,0.0,29.1,parked,1.11,0.17,0.5,,,,,-0.5,0.0,1,0,behind3
4,0.0,29.2,parked,1.1,0.17,0.6,,,,,1.5,0.0,1,0,behind3
5,0.0,26.6,parked,1.08,0.17,0.5,,,,,0.7,0.0,0,0,
6,0.0,29.1,parked,1.09,0.17,0.6,,,,,-0.3,0.0,1,0,behind3
7,0.0,29.2,parked,1.11,0.17,0.6,,,,,1.1,0.0,1,0,behind3
8,0.0,27.8,parked,1.12,0.17,0.6,,,,,2.9,0.0,1,0,behind3
9,0.0,29.2,parked,1.1,0.17,0.7,,,,,0.8,0.0,1,0,behind3
10,0.0,29.1,parked,1.11,0.17,0.5,,,,,0.2,0.0,1,0,behind3
11,0.0,28.9,parked,1.12,0.17,0.6,,,,,-1.1,0.0,1,0,behind3
12,0.0,25.3,parked,1.06,0.18,0.5,,,,,-0.2,0.0,0,0,
13,0.0,28.3,parked,1.07,0.17,0.7,,,,,0.3,0.0,1,0,behind3
14,0.0,29.2,parked,1.1,0.17,0.6,,,,,1.8,0.0,1,0,behind3
15,0.0,29.2,parked,1.08,0.17,0.7,,,,,-0.6,0.0,1,0,behind3
16,0.0,29.1,parked,1.09,0.17,0.6,,,,,0.4,0.0,1,0,behind3
17,0.0,28.6,parked,1.06,0.17,0.7,,,,,0.5,0.0,1,0,behind3
18,0.0,26.3,parked,1.12,0.18,0.4,,,,,2.8,0.0,0,0,
19,0.0,26.9,parked,1.02,0.17,0.6,,,,,1.3,0.0,0,0,
20,0.0,29.1,parked,1.09,0.17,0.6,,,,,-0.1,0.0,1,0,behind3
21,0.0,29.1,parked,1.1,0.17,0.6,,,,,0.8,0.0,1,0,behind3
22,0.0,28.0,parked,1.05,0.17,0.7,,,,,-1.5,0.0,1,0,behind3
23,0.0,29.2,parked,1.07,0.17,0.7,,,,,0.3,0.0,1,0,behind3
24,0.0,29.2,parked,1.11,0.17,0.6,,,,,1.8,0.0,1,0,behind3
25,0.0,26.5,parked,1.07,0.17,0.6,,,,,2.0,0.0,0,0,
26,0.0,30.7,collision,,,27.8,vehicle.mitsubishi.fusorosa,-28.41,-3.52,0.08,0.9,0.0,1,0,behind3
27,0.0,29.2,parked,1.13,0.17,0.3,,,,,2.6,0.0,1,0,behind3
28,0.0,29.2,parked,1.08,0.17,0.6,,,,,1.2,0.0,1,0,behind3
29,0.0,29.2,parked,1.11,0.17,0.5,,,,,1.8,0.0,1,0,behind3
30,0.0,27.9,parked,1.05,0.17,0.7,,,,,2.0,0.0,1,0,behind3
