episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,22.2,collision,,,8.8,vehicle.tesla.model3,-17.02,-2.18,2.66,2.7,0.0,1,0,behind2
2,0.0,20.6,parked,1.04,0.18,0.5,,,,,2.3,0.0,0,0,
3,0.0,22.2,collision,,,7.6,vehicle.seat.leon,-16.13,-2.03,3.16,1.7,0.0,1,0,behind2
4,0.0,22.2,collision,,,8.6,vehicle.toyota.prius,-16.73,-2.14,2.01,1.5,0.0,1,0,behind2
5,0.0,20.9,collision,,,3.0,vehicle.mercedes.coupe_2020,-14.95,-1.9,2.0,0.7,0.0,1,0,behind2
6,0.0,22.2,collision,,,7.0,vehicle.nissan.patrol_2021,-17.64,-2.24,2.09,-0.3,0.0,1,0,behind2
7,0.0,22.2,collision,,,8.6,vehicle.ford.mustang,-16.7,-2.13,2.82,1.1,0.0,1,0,behind2
8,0.0,22.1,collision,,,7.4,vehicle.nissan.patrol,-15.98,-2.14,3.01,2.9,0.0,1,0,behind2
9,0.0,22.2,collision,,,8.8,vehicle.lincoln.mkz_2017,-16.98,-2.16,2.89,0.8,0.0,1,0,behind2
10,0.0,22.2,collision,,,7.5,vehicle.citroen.c3,-16.11,-2.02,3.21,0.2,0.0,1,0,behind2
11,0.0,22.1,collision,,,5.6,vehicle.volkswagen.t2_2021,-15.15,-1.95,2.66,-1.1,0.0,1,0,behind2
12,0.0,20.8,collision,,,-6.6,vehicle.audi.tt,-16.51,-1.8,2.59,-0.2,0.0,1,0,behind2
13,0.0,22.1,collision,,,5.5,vehicle.volkswagen.t2_2021,-15.14,-1.95,2.66,0.3,0.0,1,0,behind2
14,0.0,22.2,collision,,,6.5,vehicle.volkswagen.t2_2021,-15.2,-1.99,2.82,1.8,0.0,1,0,behind2
15,0.0,22.2,collision,,,6.7,vehicle.ford.crown,-15.44,-2.04,2.41,-0.6,0.0,1,0,behind2
16,0.0,22.2,collision,,,5.9,vehicle.dodge.charger_2020,-15.79,-2.06,3.07,0.4,0.0,1,0,behind2
17,0.0,22.2,collision,,,6.0,vehicle.dodge.charger_police_2020,-15.79,-2.06,3.22,0.5,0.0,1,0,behind2
18,0.0,20.8,collision,,,2.7,vehicle.ford.crown,-15.09,-1.91,2.03,2.8,0.0,1,0,behind2
19,0.0,20.6,collision,,,-3.9,vehicle.mini.cooper_s,-15.98,-1.82,1.83,1.3,0.0,1,0,behind2
20,0.0,22.2,collision,,,6.9,vehicle.volkswagen.t2_2021,-15.45,-2.01,3.13,2.3,0.0,1,0,behind2
21,0.0,22.0,collision,,,7.6,vehicle.volkswagen.t2,-17.88,-2.28,1.35,1.0,0.0,1,0,behind2
22,0.0,22.2,collision,,,8.6,vehicle.jeep.wrangler_rubicon,-16.66,-2.11,2.64,-1.5,0.0,1,0,behind2
23,0.0,22.2,collision,,,8.0,vehicle.tesla.model3,-16.71,-2.16,2.85,0.3,0.0,1,0,behind2
24,0.0,22.2,collision,,,8.6,vehicle.jeep.wrangler_rubicon,-16.5,-2.11,1.84,1.8,0.0,1,0,behind2
25,0.0,21.7,collision,,,5.2,vehicle.audi.a2,-14.4,-1.87,2.71,2.0,0.0,1,0,behind2
26,0.0,23.0,collision,,,16.5,vehicle.dodge.charger_2020,-17.66,-2.5,2.28,1.8,0.0,1,0,behind2
27,0.0,21.7,collision,,,1.6,vehicle.dodge.charger_2020,-15.34,-1.91,3.13,-1.4,0.0,1,0,behind2
28,0.0,22.2,collision,,,8.9,vehicle.seat.leon,-16.41,-2.08,3.12,1.8,0.0,1,0,behind2
29,0.0,22.1,collision,,,7.2,vehicle.dodge.charger_police,-16.64,-2.11,2.93,2.0,0.0,1,0,behind2
30,0.0,22.2,collision,,,6.7,vehicle.volkswagen.t2,-17.71,-2.26,1.62,-0.4,0.0,1,0,behind2
