episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,34.0,timeout,,,,,,,,24.6,-0.16,0
2,0.0,30.9,parked,0.95,0.0,4.0,,,,,-4.6,-0.22,0
3,0.0,32.1,parked,0.75,0.16,-2.0,,,,,-9.4,0.59,0
4,0.0,32.0,timeout,,,,,,,,-21.5,0.14,0
5,0.0,32.1,timeout,,,,,,,,-20.7,-0.48,0
6,0.0,27.1,parked,0.42,0.03,3.1,,,,,-11.4,1.05,0
7,0.0,32.1,parked,1.11,0.03,2.0,,,,,-3.2,0.09,0
8,0.0,32.2,timeout,,,,,,,,5.8,-0.61,0
9,0.0,26.3,out_of_bounds,,,,,,,,-25.0,-0.38,0
10,0.0,32.1,timeout,,,,,,,,13.4,0.35,0
11,0.0,32.1,timeout,,,,,,,,-2.8,0.49,0
12,0.0,30.7,timeout,,,,,,,,-22.2,1.23,0
13,0.0,32.2,parked,0.04,0.18,2.0,,,,,-16.6,-1.25,0
14,0.0,27.2,out_of_bounds,,,,,,,,-18.0,-1.3,0
15,0.0,32.2,timeout,,,,,,,,-15.4,-0.36,0
16,0.0,31.8,timeout,,,,,,,,1.7,0.13,0
17,0.0,32.2,parked,0.75,0.05,-4.1,,,,,-15.1,-0.13,0
18,0.0,32.0,parked,0.49,0.15,-1.9,,,,,18.7,1.45,0
19,0.0,32.0,timeout,,,,,,,,15.3,1.39,0
20,0.0,31.0,timeout,,,,,,,,22.0,0.18,0
21,0.0,31.9,parked,0.78,0.01,4.8,,,,,-16.1,0.29,0
22,0.0,30.7,timeout,,,,,,,,12.3,-1.02,0
23,0.0,32.0,parked,0.36,0.0,3.2,,,,,-15.1,-1.46,0
24,0.0,32.1,parked,0.49,0.08,-3.3,,,,,-1.3,0.93,0
25,0.0,32.1,timeout,,,,,,,,0.9,-0.27,0
26,0.0,30.2,timeout,,,,,,,,0.2,-0.94,0
27,0.0,32.2,timeout,,,,,,,,9.6,-0.86,0
28,0.0,30.5,parked,1.02,0.01,6.4,,,,,22.0,-0.47,0
29,0.0,30.0,timeout,,,,,,,,-18.7,0.26,0
30,0.0,28.6,parked,0.53,0.18,0.3,,,,,21.3,-0.64,0
31,0.0,32.2,parked,0.24,0.1,-1.2,,,,,-15.8,0.31,0
32,0.0,29.8,timeout,,,,,,,,-18.7,-0.75,0
33,0.0,32.2,parked,0.9,0.09,-0.9,,,,,-15.4,-0.79,0
34,0.0,29.1,timeout,,,,,,,,-20.8,0.74,0
35,0.0,31.3,timeout,,,,,,,,24.2,0.16,0
36,0.0,32.3,parked,0.1,0.07,1.6,,,,,12.6,-1.05,0
37,0.0,31.2,timeout,,,,,,,,1.1,0.85,0
38,0.0,24.5,timeout,,,,,,,,-10.7,1.17,0
39,0.0,30.8,timeout,,,,,,,,10.7,-0.66,0
40,0.0,32.0,parked,1.08,0.13,-2.4,,,,,8.4,1.25,0
41,0.0,32.6,timeout,,,,,,,,5.1,-1.36,0
42,0.0,32.2,parked,0.59,0.0,4.3,,,,,7.1,-0.12,0
43,0.0,31.7,parked,0.97,0.16,0.3,,,,,3.9,-1.27,0
44,0.0,32.0,parked,0.26,0.0,-3.5,,,,,-20.5,0.42,0
45,0.0,30.6,timeout,,,,,,,,-14.2,-0.07,0
46,0.0,31.0,timeout,,,,,,,,15.0,0.52,0
47,0.0,32.1,parked,1.07,0.17,-0.4,,,,,16.1,1.03,0
48,0.0,32.1,parked,0.12,0.2,0.3,,,,,9.7,0.15,0
49,0.0,34.9,out_of_bounds,,,,,,,,-5.2,-0.24,0
50,0.0,32.0,parked,0.25,0.19,-0.0,,,,,22.2,1.2,0
51,0.0,32.1,parked,0.53,0.03,-2.6,,,,,-6.8,-0.07,0
52,0.0,32.7,parked,1.07,0.08,-4.5,,,,,-11.8,1.47,0
53,0.0,35.3,out_of_bounds,,,,,,,,-12.1,1.46,0
54,0.0,33.9,collision,,,61.4,static.building,-31.47,-2.87,1.1,-7.0,-0.53,0
55,0.0,32.1,timeout,,,,,,,,-16.3,1.37,0
56,0.0,31.2,parked,0.11,0.06,4.3,,,,,18.8,0.86,0
57,0.0,29.5,parked,0.55,0.02,-5.1,,,,,-10.6,1.19,0
58,0.0,32.2,timeout,,,,,,,,-11.4,-0.09,0
59,0.0,28.3,parked,1.01,0.11,-3.4,,,,,22.0,-0.18,0
60,0.0,29.9,parked,1.09,0.14,0.2,,,,,9.2,-0.11,0
