episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,32.9,out_of_bounds,,,,,,,,9.3,-1.47,0
2,0.0,40.2,parked,0.9,0.23,0.9,,,,,-13.0,-1.43,0
3,0.0,28.9,out_of_bounds,,,,,,,,3.4,-0.26,0
4,0.0,33.2,timeout,,,,,,,,35.9,0.67,0
5,0.0,40.3,timeout,,,,,,,,9.9,-1.82,0
6,0.0,40.1,timeout,,,,,,,,35.1,0.61,0
7,0.0,40.2,collision,,,36.1,static.static,-9.66,-0.22,1.65,12.4,-1.02,0
8,0.0,40.1,timeout,,,,,,,,32.7,0.55,0
9,0.0,33.3,collision,,,16.9,static.static,-14.48,-0.11,0.09,-1.3,1.7,0
10,0.0,39.5,timeout,,,,,,,,16.8,0.32,0
11,0.0,40.2,collision,,,19.3,static.static,-14.27,-0.34,0.87,-32.2,-1.11,0
12,0.0,40.1,timeout,,,,,,,,-29.0,0.26,0
13,0.0,32.1,out_of_bounds,,,,,,,,-0.9,1.95,0
14,0.0,40.2,timeout,,,,,,,,-32.1,-0.58,0
15,0.0,40.3,collision,,,40.7,static.car,-37.55,-2.46,0.72,-4.6,-1.85,0
16,0.0,38.2,timeout,,,,,,,,-36.0,0.83,0
17,0.0,43.6,out_of_bounds,,,,,,,,16.1,0.05,0
18,0.0,40.2,timeout,,,,,,,,21.3,0.48,0
19,0.0,34.1,out_of_bounds,,,,,,,,0.0,-0.9,0
20,0.0,35.8,collision,,,21.8,static.pole,-4.4,1.46,0.32,34.0,-0.43,0
21,0.0,40.0,collision,,,8.6,static.vegetation,-3.07,0.37,2.23,14.9,1.46,0
22,0.0,40.0,timeout,,,,,,,,-23.9,1.23,0
23,0.0,40.1,collision,,,21.8,static.vegetation,-7.42,-0.04,0.29,-22.4,-1.23,0
24,0.0,38.6,out_of_bounds,,,,,,,,11.5,-0.67,0
25,0.0,38.7,timeout,,,,,,,,35.9,-1.34,0
26,0.0,38.5,out_of_bounds,,,,,,,,-32.5,-0.8,0
27,0.0,40.2,collision,,,16.6,static.static,-0.74,-0.12,0.48,31.8,-0.51,0
28,0.0,40.2,timeout,,,,,,,,-30.2,-0.99,0
29,0.0,29.8,out_of_bounds,,,,,,,,-15.4,-0.31,0
30,0.0,40.1,parked,0.63,0.1,1.2,,,,,-0.5,-0.9,0
31,0.0,40.2,collision,,,41.9,static.vegetation,-36.39,-0.66,2.26,39.3,-0.74,0
32,0.0,40.2,collision,,,23.1,static.pole,-4.66,1.74,0.61,-9.0,-1.0,0
33,0.0,40.2,collision,,,24.1,static.trafficsign,-1.11,0.37,0.62,-12.4,-0.62,0
34,0.0,40.1,timeout,,,,,,,,-8.1,0.16,0
35,0.0,39.4,collision,,,18.6,static.static,-2.97,-0.24,0.22,-17.2,-1.03,0
36,0.0,40.6,out_of_bounds,,,,,,,,39.9,-0.39,0
37,0.0,34.0,out_of_bounds,,,,,,,,-2.3,-1.76,0
38,0.0,40.1,timeout,,,,,,,,13.4,-0.05,0
39,0.0,33.2,out_of_bounds,,,,,,,,15.5,-1.74,0
40,0.0,40.0,collision,,,23.9,static.vegetation,-0.51,0.67,0.39,36.4,1.23,0
41,0.0,37.2,parked,0.77,0.18,1.8,,,,,27.6,0.2,0
42,0.0,31.4,out_of_bounds,,,,,,,,34.7,0.12,0
43,0.0,35.7,out_of_bounds,,,,,,,,-35.7,0.17,0
44,0.0,37.3,collision,,,29.7,static.vegetation,-14.29,-0.38,1.9,23.3,-1.6,0
45,0.0,40.3,collision,,,30.5,static.car,-38.25,-2.55,0.69,-3.1,-1.22,0
46,0.0,34.4,out_of_bounds,,,,,,,,-31.6,-0.64,0
47,0.0,40.0,timeout,,,,,,,,-23.3,0.7,0
48,0.0,40.1,timeout,,,,,,,,0.1,0.13,0
49,0.0,40.0,collision,,,11.6,static.building,-3.23,0.7,0.26,6.0,0.72,0
50,0.0,40.2,timeout,,,,,,,,6.6,-0.78,0
51,0.0,39.4,timeout,,,,,,,,-38.5,-0.23,0
52,0.0,37.5,timeout,,,,,,,,-10.2,-1.77,0
53,0.0,30.6,out_of_bounds,,,,,,,,9.7,-1.11,0
54,0.0,40.2,parked,0.89,0.01,5.2,,,,,37.6,-0.77,0
55,0.0,33.2,collision,,,15.2,static.pole,-2.33,1.84,0.84,32.1,1.42,0
56,0.0,36.3,collision,,,14.1,static.pole,-4.54,1.42,0.67,-14.0,-1.32,0
57,0.0,40.6,out_of_bounds,,,,,,,,-26.0,-0.55,0
58,0.0,39.2,parked,0.27,0.08,1.2,,,,,-17.9,1.37,0
59,0.0,39.6,collision,,,12.7,static.vegetation,-6.11,0.26,2.39,16.4,-1.21,0
60,0.0,40.0,timeout,,,,,,,,28.4,0.95,0
61,0.0,38.8,timeout,,,,,,,,35.3,0.56,0
62,0.0,38.6,collision,,,21.6,static.trafficsign,-11.36,0.35,2.52,-21.3,1.75,0
63,0.0,34.9,collision,,,28.9,static.static,-14.67,0.0,0.13,-10.4,1.42,0
64,0.0,35.6,collision,,,25.3,static.static,-5.02,0.87,0.27,10.1,0.48,0
65,0.0,35.7,parked,0.45,0.14,0.1,,,,,-1.1,0.13,0
66,0.0,37.1,out_of_bounds,,,,,,,,-17.5,-1.53,0
67,0.0,40.2,timeout,,,,,,,,-7.8,-1.23,0
68,0.0,40.2,parked,0.02,0.08,4.0,,,,,2.6,-1.68,0
69,0.0,40.0,timeout,,,,,,,,11.7,0.95,0
70,0.0,40.1,timeout,,,,,,,,-15.1,-0.25,0
71,0.0,40.3,timeout,,,,,,,,32.0,-1.45,0
72,0.0,40.1,timeout,,,,,,,,24.3,-1.3,0
73,0.0,36.7,timeout,,,,,,,,27.1,-0.4,0
74,0.0,37.1,timeout,,,,,,,,32.1,0.85,0
75,0.0,37.1,timeout,,,,,,,,6.4,-0.37,0
76,0.0,40.8,parked,0.57,0.1,0.1,,,,,9.0,0.57,0
77,0.0,34.4,timeout,,,,,,,,1.5,0.4,0
78,0.0,35.2,timeout,,,,,,,,15.9,0.86,0
79,0.0,30.1,out_of_bounds,,,,,,,,8.8,1.42,0
80,0.0,30.4,out_of_bounds,,,,,,,,7.6,1.1,0
81,0.0,39.8,collision,,,5.7,static.sidewalk,0.5,0.42,0.01,19.0,-0.74,0
82,0.0,32.4,out_of_bounds,,,,,,,,28.6,-0.15,0
83,0.0,32.8,out_of_bounds,,,,,,,,-27.3,1.16,0
84,0.0,40.0,timeout,,,,,,,,-14.9,0.01,0
85,0.0,40.6,parked,0.0,0.01,-2.1,,,,,-19.2,1.44,0
86,0.0,40.4,timeout,,,,,,,,-11.7,0.96,0
87,0.0,39.9,parked,0.42,0.01,4.4,,,,,28.2,1.25,0
88,0.0,40.1,timeout,,,,,,,,21.4,-0.19,0
89,0.0,42.6,out_of_bounds,,,,,,,,29.9,-0.16,0
90,0.0,33.7,out_of_bounds,,,,,,,,35.1,-1.45,0
91,0.0,40.0,collision,,,14.4,static.car,-33.49,-2.11,1.5,-34.3,1.13,0
