episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,23.3,parked,0.56,0.17,-0.2,,,,,13.5,-0.36,0
2,0.0,24.1,parked,1.02,0.2,-0.6,,,,,8.9,0.4,0
3,0.0,24.1,parked,0.62,0.21,-0.4,,,,,2.7,0.18,0
4,0.0,23.2,parked,0.97,0.22,-1.0,,,,,11.2,1.0,0
5,0.0,24.3,parked,0.78,0.18,0.0,,,,,-8.3,-0.67,0
6,0.0,24.1,parked,0.48,0.14,2.0,,,,,0.1,0.1,0
7,0.0,24.3,timeout,,,,,,,,-4.8,-0.77,0
8,0.0,23.3,parked,0.62,0.15,-1.0,,,,,-15.0,-0.95,0
9,0.0,24.3,timeout,,,,,,,,-6.1,-0.95,0
10,0.0,24.1,parked,1.04,0.12,2.2,,,,,-11.3,0.17,0
11,0.0,24.2,parked,0.42,0.16,1.4,,,,,11.2,-0.19,0
12,0.0,24.2,parked,0.71,0.13,-2.1,,,,,10.2,0.44,0
13,0.0,24.2,timeout,,,,,,,,7.5,0.45,0
14,0.0,24.2,timeout,,,,,,,,-5.8,-0.44,0
15,0.0,24.3,parked,0.93,0.15,-2.6,,,,,-12.9,-0.57,0
16,0.0,24.1,timeout,,,,,,,,-14.6,0.57,0
17,0.0,24.3,parked,0.86,0.09,-4.3,,,,,12.2,-0.95,0
18,0.0,26.2,timeout,,,,,,,,-7.6,0.3,0
19,0.0,25.6,timeout,,,,,,,,-7.5,0.2,0
20,0.0,23.6,parked,0.98,0.12,-1.6,,,,,12.1,0.26,0
21,0.0,24.0,parked,0.54,0.04,-2.6,,,,,-11.5,-0.61,0
22,0.0,23.8,parked,0.32,0.08,1.2,,,,,-2.6,-0.14,0
23,0.0,24.2,timeout,,,,,,,,4.7,-0.23,0
24,0.0,24.2,parked,0.58,0.09,-3.5,,,,,8.1,-0.68,0
25,0.0,22.7,parked,0.69,0.15,-2.4,,,,,-5.2,0.43,0
26,0.0,24.2,parked,1.11,0.0,1.7,,,,,-9.7,-0.13,0
27,0.0,24.2,parked,0.92,0.08,-0.5,,,,,-6.7,-0.65,0
28,0.0,24.3,timeout,,,,,,,,-11.6,-0.81,0
29,0.0,25.1,parked,0.93,0.13,-2.4,,,,,-2.4,0.56,0
30,0.0,22.2,timeout,,,,,,,,0.8,0.66,0
