episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,16.0,timeout,,,,,,,,-1.1,0.0,0
2,0.0,16.2,parked,1.08,0.15,1.9,,,,,-1.4,0.0,0
3,0.0,16.2,parked,0.39,0.16,2.3,,,,,0.5,0.0,0
4,0.0,16.2,parked,0.99,0.17,-1.5,,,,,0.0,0.0,0
5,0.0,16.3,timeout,,,,,,,,2.5,0.0,0
6,0.0,16.2,parked,0.54,0.14,1.6,,,,,2.1,0.0,0
7,0.0,16.3,parked,0.65,0.02,-2.0,,,,,-2.2,0.0,0
8,0.0,16.3,parked,1.04,0.13,3.0,,,,,-1.1,0.0,0
9,0.0,16.2,parked,1.06,0.07,3.9,,,,,2.0,0.0,0
10,0.0,16.9,parked,0.26,0.02,-1.7,,,,,0.3,0.0,0
11,0.0,16.2,parked,0.9,0.07,3.3,,,,,1.1,0.0,0
12,0.0,16.3,parked,0.86,0.13,-3.0,,,,,-2.5,0.0,0
13,0.0,16.2,parked,0.46,0.09,3.7,,,,,1.9,0.0,0
14,0.0,16.0,parked,0.11,0.06,4.1,,,,,2.8,0.0,0
15,0.0,16.3,timeout,,,,,,,,-2.1,0.0,0
16,0.0,16.2,parked,0.37,0.17,2.3,,,,,-2.6,0.0,0
17,0.0,16.2,parked,0.59,0.14,-1.9,,,,,-2.2,0.0,0
18,0.0,16.2,timeout,,,,,,,,-2.7,0.0,0
19,0.0,16.2,parked,0.28,0.12,-2.7,,,,,1.7,0.0,0
20,0.0,16.3,timeout,,,,,,,,-0.9,0.0,0
21,0.0,16.2,parked,1.11,0.15,1.9,,,,,-2.0,0.0,0
22,0.0,16.2,parked,0.8,0.12,0.3,,,,,0.3,0.0,0
23,0.0,16.2,parked,1.05,0.16,-1.9,,,,,2.5,0.0,0
24,0.0,16.2,parked,0.45,0.23,-0.3,,,,,-2.2,0.0,0
25,0.0,16.3,parked,0.97,0.0,4.0,,,,,2.7,0.0,0
26,0.0,16.2,parked,0.18,0.22,-0.7,,,,,1.6,0.0,0
27,0.0,16.2,parked,1.14,0.22,-0.4,,,,,2.1,0.0,0
28,0.0,16.2,parked,0.62,0.11,-0.5,,,,,-0.4,0.0,0
29,0.0,16.0,parked,0.89,0.21,-1.0,,,,,1.9,0.0,0
30,0.0,16.3,timeout,,,,,,,,2.8,0.0,0
