episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours
1,0.0,16.1,parked,1.1,0.25,0.2,,,,,2.7,-0.36,0
2,0.0,15.1,parked,1.02,0.25,0.2,,,,,2.4,0.77,0
3,0.0,16.3,parked,1.1,0.25,0.3,,,,,0.4,-0.16,0
4,0.0,16.2,parked,1.02,0.25,0.2,,,,,0.5,0.5,0
5,0.0,16.4,parked,0.98,0.25,0.1,,,,,-2.5,-0.99,0
6,0.0,16.0,parked,1.13,0.25,0.3,,,,,-0.3,0.63,0
7,0.0,16.2,parked,1.11,0.25,0.2,,,,,-1.7,0.36,0
8,0.0,16.3,parked,1.11,0.25,0.2,,,,,3.0,-0.3,0
9,0.0,16.1,parked,1.11,0.25,0.3,,,,,3.0,0.61,0
10,0.0,16.2,parked,1.09,0.25,0.3,,,,,1.3,0.28,0
11,0.0,16.2,parked,1.09,0.25,0.3,,,,,-1.2,0.11,0
12,0.0,16.4,parked,0.99,0.25,0.1,,,,,0.9,-0.72,0
13,0.0,16.2,parked,1.09,0.25,0.2,,,,,2.1,-0.38,0
14,0.0,16.3,parked,1.07,0.25,0.3,,,,,-0.5,-0.27,0
15,0.0,16.2,parked,1.1,0.25,0.3,,,,,0.3,0.78,0
16,0.0,16.3,parked,1.09,0.25,0.3,,,,,1.8,-0.15,0
17,0.0,16.3,parked,1.06,0.25,0.2,,,,,0.1,-0.2,0
18,0.0,16.2,parked,1.01,0.25,0.1,,,,,2.9,0.13,0
19,0.0,16.3,parked,1.09,0.25,0.3,,,,,-2.8,0.04,0
20,0.0,16.2,parked,1.07,0.25,0.2,,,,,1.9,0.53,0
21,0.0,16.2,parked,1.09,0.25,0.4,,,,,-2.4,0.77,0
22,0.0,16.2,parked,1.09,0.25,0.3,,,,,-0.1,-0.06,0
23,0.0,16.1,parked,1.06,0.25,0.1,,,,,-2.3,0.7,0
24,0.0,16.2,parked,1.1,0.25,0.3,,,,,1.3,0.35,0
25,0.0,16.4,parked,1.13,0.25,0.3,,,,,-0.6,-0.5,0
26,0.0,16.3,parked,1.07,0.25,0.2,,,,,0.9,0.1,0
27,0.0,16.2,parked,1.03,0.25,0.2,,,,,-0.6,0.61,0
28,0.0,15.8,parked,1.12,0.25,0.3,,,,,-1.4,-0.41,0
29,0.0,16.4,parked,1.01,0.25,0.1,,,,,2.3,-0.7,0
30,0.0,16.2,parked,1.01,0.25,0.2,,,,,2.6,0.61,0
