episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,22.2,collision,,,18.7,vehicle.audi.etron,-19.07,-1.59,0.64,2.7,0.0,1,0,behind2
2,0.0,20.6,collision,,,-4.7,vehicle.tesla.model3,-19.06,-0.97,0.37,2.3,0.0,1,0,behind2
3,0.0,22.2,collision,,,16.0,vehicle.seat.leon,-18.81,-1.47,0.46,1.7,0.0,1,0,behind2
4,0.0,22.2,collision,,,18.2,vehicle.toyota.prius,-18.91,-1.55,0.49,1.5,0.0,1,0,behind2
5,0.0,20.9,collision,,,6.9,vehicle.mercedes.coupe_2020,-19.01,-1.4,0.47,0.7,0.0,1,0,behind2
6,0.0,22.2,collision,,,16.3,vehicle.lincoln.mkz_2017,-19.05,-1.52,0.59,-0.3,0.0,1,0,behind2
7,0.0,22.2,collision,,,18.4,vehicle.lincoln.mkz_2020,-19.06,-1.58,0.61,-1.7,0.0,1,0,behind2
8,0.0,22.2,collision,,,16.6,vehicle.mini.cooper_s_2021,-19.08,-1.53,0.71,1.8,0.0,1,0,behind2
9,0.0,21.1,collision,,,9.6,vehicle.audi.tt,-18.76,-1.39,0.78,1.3,0.0,1,0,behind2
10,0.0,22.2,collision,,,18.4,vehicle.bmw.grandtourer,-19.01,-1.57,0.94,-1.3,0.0,1,0,behind2
11,0.0,22.1,collision,,,15.4,vehicle.dodge.charger_police_2020,-19.12,-1.51,0.5,-1.1,0.0,1,0,behind2
12,0.0,22.5,collision,,,17.1,vehicle.jeep.wrangler_rubicon,-18.45,-1.46,0.85,-0.5,0.0,1,0,behind2
13,0.0,22.2,collision,,,16.3,vehicle.mercedes.coupe_2020,-19.03,-1.52,0.61,-0.0,0.0,1,0,behind2
14,0.0,22.2,collision,,,18.8,vehicle.ford.crown,-19.13,-1.6,0.74,-0.6,0.0,1,0,behind2
15,0.0,22.2,collision,,,16.6,vehicle.dodge.charger_2020,-19.12,-1.54,0.51,0.4,0.0,1,0,behind2
16,0.0,22.2,collision,,,17.0,vehicle.nissan.patrol_2021,-19.37,-1.59,0.7,0.5,0.0,1,0,behind2
17,0.0,20.8,collision,,,5.4,vehicle.ford.crown,-19.1,-1.41,0.52,2.8,0.0,1,0,behind2
18,0.0,20.6,collision,,,-3.5,vehicle.mini.cooper_s,-18.68,-0.95,0.32,1.3,0.0,1,0,behind2
19,0.0,22.2,collision,,,18.6,vehicle.mercedes.coupe_2020,-19.01,-1.57,0.8,2.3,0.0,1,0,behind2
20,0.0,22.0,collision,,,18.2,vehicle.dodge.charger_police_2020,-19.12,-1.61,0.44,1.0,0.0,1,0,behind2
21,0.0,22.2,collision,,,16.7,vehicle.jeep.wrangler_rubicon,-18.49,-1.45,0.78,-1.5,0.0,1,0,behind2
22,0.0,22.2,collision,,,18.6,vehicle.audi.etron,-19.08,-1.59,0.64,0.3,0.0,1,0,behind2
23,0.0,22.2,collision,,,16.7,vehicle.jeep.wrangler_rubicon,-18.47,-1.45,0.77,1.8,0.0,1,0,behind2
24,0.0,21.7,collision,,,15.8,vehicle.audi.a2,-18.6,-1.47,0.63,2.0,0.0,1,0,behind2
25,0.0,23.0,collision,,,26.8,vehicle.dodge.charger_2020,-19.03,-1.79,0.58,1.8,0.0,1,0,behind2
26,0.0,21.7,collision,,,4.0,vehicle.dodge.charger_2020,-19.15,-1.18,0.6,-1.4,0.0,1,0,behind2
27,0.0,22.2,collision,,,17.9,vehicle.seat.leon,-18.81,-1.53,0.49,1.8,0.0,1,0,behind2
28,0.0,22.1,collision,,,16.9,vehicle.dodge.charger_police,-19.19,-1.56,0.81,2.0,0.0,1,0,behind2
29,0.0,22.2,collision,,,16.4,vehicle.dodge.charger_police_2020,-19.12,-1.53,0.51,-0.4,0.0,1,0,behind2
30,0.0,22.2,collision,,,14.4,vehicle.micro.microlino,-17.79,-1.33,0.32,-1.4,0.0,1,0,behind2
