episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,16.3,collision,,,14.2,vehicle.audi.etron,-11.91,-1.81,0.4,2.7,0.0,1,0,behind1
2,0.0,15.3,collision,,,6.8,vehicle.tesla.model3,-11.9,-1.62,0.45,2.3,0.0,1,0,behind1
3,0.0,16.2,collision,,,12.5,vehicle.seat.leon,-11.62,-1.7,0.95,1.7,0.0,1,0,behind1
4,0.0,16.3,collision,,,13.9,vehicle.toyota.prius,-11.73,-1.76,0.55,1.5,0.0,1,0,behind1
5,0.0,15.9,collision,,,11.9,vehicle.mercedes.coupe_2020,-11.86,-1.74,0.44,0.7,0.0,1,0,behind1
6,0.0,16.2,collision,,,12.5,vehicle.lincoln.mkz_2017,-11.89,-1.76,0.36,-0.3,0.0,1,0,behind1
7,0.0,16.3,collision,,,13.4,vehicle.lincoln.mkz_2020,-11.88,-1.79,0.37,-1.7,0.0,1,0,behind1
8,0.0,16.2,collision,,,12.4,vehicle.mini.cooper_s_2021,-11.95,-1.77,0.48,1.8,0.0,1,0,behind1
9,0.0,16.0,collision,,,12.0,vehicle.audi.tt,-11.68,-1.7,0.56,1.3,0.0,1,0,behind1
10,0.0,16.3,collision,,,13.4,vehicle.bmw.grandtourer,-11.88,-1.79,0.36,-1.3,0.0,1,0,behind1
11,0.0,16.2,collision,,,12.1,vehicle.dodge.charger_police_2020,-11.94,-1.76,0.49,-1.1,0.0,1,0,behind1
12,0.0,16.3,collision,,,13.2,vehicle.jeep.wrangler_rubicon,-11.41,-1.68,0.85,-0.5,0.0,1,0,behind1
13,0.0,16.2,collision,,,12.3,vehicle.mercedes.coupe_2020,-11.85,-1.75,0.43,-0.0,0.0,1,0,behind1
14,0.0,16.3,collision,,,13.5,vehicle.ford.crown,-11.98,-1.81,0.88,-0.6,0.0,1,0,behind1
15,0.0,16.2,collision,,,12.5,vehicle.dodge.charger_2020,-11.93,-1.77,0.72,0.4,0.0,1,0,behind1
16,0.0,16.2,collision,,,12.3,vehicle.nissan.patrol_2021,-12.23,-1.83,0.47,0.5,0.0,1,0,behind1
17,0.0,15.8,collision,,,12.1,vehicle.ford.crown,-12.01,-1.78,0.6,2.8,0.0,1,0,behind1
18,0.0,15.3,collision,,,7.2,vehicle.mini.cooper_s,-11.55,-1.55,0.61,1.3,0.0,1,0,behind1
19,0.0,16.3,collision,,,14.0,vehicle.mercedes.coupe_2020,-11.84,-1.79,0.45,2.3,0.0,1,0,behind1
20,0.0,16.3,collision,,,13.8,vehicle.dodge.charger_police_2020,-11.92,-1.81,0.25,1.0,0.0,1,0,behind1
