episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard
1,0.0,29.2,parked,1.12,0.21,0.9,,,,,2.7,0.0,1,0,behind3
2,0.0,26.9,parked,1.11,0.22,0.8,,,,,2.3,0.0,0,0,
3,0.0,29.1,parked,1.05,0.21,1.1,,,,,-0.5,0.0,1,0,behind3
4,0.0,29.2,parked,1.07,0.21,1.1,,,,,1.5,0.0,1,0,behind3
5,0.0,26.6,parked,1.13,0.22,0.8,,,,,0.7,0.0,0,0,
6,0.0,29.1,parked,1.05,0.21,1.1,,,,,-0.3,0.0,1,0,behind3
7,0.0,29.2,parked,1.12,0.21,0.9,,,,,-1.7,0.0,1,0,behind3
8,0.0,29.1,parked,1.1,0.21,1.0,,,,,1.8,0.0,1,0,behind3
9,0.0,26.8,parked,0.99,0.22,1.1,,,,,1.3,0.0,0,0,
10,0.0,30.0,parked,1.09,0.1,2.4,,,,,-1.2,0.0,1,0,behind3
11,0.0,28.9,parked,1.06,0.21,1.1,,,,,-1.1,0.0,1,0,behind3
12,0.0,30.1,parked,1.11,0.21,0.9,,,,,-0.5,0.0,1,0,behind3
13,0.0,29.1,parked,1.06,0.21,1.1,,,,,-0.0,0.0,1,0,behind3
14,0.0,29.2,parked,1.09,0.21,1.0,,,,,-0.6,0.0,1,0,behind3
15,0.0,29.1,parked,1.06,0.21,1.1,,,,,0.4,0.0,1,0,behind3
16,0.0,28.6,parked,1.09,0.21,1.1,,,,,0.5,0.0,1,0,behind3
17,0.0,26.3,parked,1.11,0.22,0.8,,,,,2.8,0.0,0,0,
18,0.0,26.9,parked,1.09,0.22,0.8,,,,,1.3,0.0,0,0,
19,0.0,29.1,parked,1.03,0.21,1.2,,,,,-0.1,0.0,1,0,behind3
20,0.0,29.1,parked,1.11,0.21,0.9,,,,,0.8,0.0,1,0,behind3
21,0.0,28.0,parked,1.11,0.21,1.0,,,,,-1.5,0.0,1,0,behind3
22,0.0,29.2,parked,1.07,0.21,1.1,,,,,0.3,0.0,1,0,behind3
23,0.0,29.2,parked,1.13,0.21,0.9,,,,,1.8,0.0,1,0,behind3
24,0.0,26.5,parked,1.12,0.22,0.8,,,,,2.0,0.0,0,0,
25,0.0,30.7,parked,1.13,0.21,0.9,,,,,0.9,0.0,1,0,behind3
26,0.0,29.2,parked,1.1,0.21,1.1,,,,,2.6,0.0,1,0,behind3
27,0.0,29.2,parked,1.07,0.21,1.1,,,,,1.2,0.0,1,0,behind3
28,0.0,29.2,parked,1.06,0.21,1.1,,,,,1.8,0.0,1,0,behind3
29,0.0,27.9,parked,1.09,0.21,1.0,,,,,2.0,0.0,1,0,behind3
30,0.0,29.1,parked,1.06,0.21,1.1,,,,,-0.4,0.0,1,0,behind3
