episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard,side
1,0.0,16.3,parked,0.75,0.08,0.8,,,,,0.6,0.0,0,0,,right
2,0.0,16.1,parked,0.8,0.1,0.5,,,,,-0.8,0.0,0,0,,right
3,0.0,16.3,parked,0.78,0.07,0.9,,,,,0.8,0.0,0,0,,right
4,0.0,16.2,parked,0.72,0.08,0.8,,,,,0.6,0.0,0,0,,right
5,0.0,16.3,timeout,,,,,,,,-1.4,0.0,0,257,,right
6,0.0,16.3,parked,0.75,0.08,0.7,,,,,-1.8,0.0,0,0,,right
7,0.0,16.3,parked,0.74,0.07,0.9,,,,,0.2,0.0,0,0,,right
8,0.0,16.2,parked,0.74,0.09,0.7,,,,,-0.1,0.0,0,0,,right
9,0.0,15.7,parked,0.78,0.12,0.3,,,,,-1.6,0.0,0,0,,right
10,0.0,15.7,collision,,,44.0,static.vegetation,-7.3,0.28,0.02,2.2,0.0,0,0,,right
11,0.0,16.3,parked,0.76,0.07,0.9,,,,,-0.7,0.0,0,0,,right
12,0.0,16.2,parked,0.72,0.09,0.7,,,,,1.0,0.0,0,0,,right
13,0.0,16.2,parked,0.72,0.09,0.7,,,,,-2.0,0.0,0,0,,right
14,0.0,16.2,parked,0.75,0.09,0.7,,,,,-1.2,0.0,0,0,,right
15,0.0,16.2,parked,0.78,0.08,0.7,,,,,1.9,0.0,0,0,,right
16,0.0,16.3,parked,0.76,0.07,0.9,,,,,-0.2,0.0,0,0,,right
17,0.0,16.2,parked,0.78,0.09,0.6,,,,,1.3,0.0,0,0,,right
18,0.0,16.3,parked,0.81,0.07,0.9,,,,,-0.6,0.0,0,0,,right
19,0.0,16.3,parked,0.8,0.07,0.9,,,,,2.8,0.0,0,0,,right
20,0.0,17.3,parked,0.78,0.02,1.4,,,,,2.3,0.0,0,0,,right
