episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard,side
1,0.0,16.2,collision,,,14.8,vehicle.tesla.model3,-6.42,-2.27,0.71,-2.2,0.0,1,0,behind1,right
2,0.0,16.2,collision,,,15.4,vehicle.dodge.charger_2020,-6.4,-2.25,0.52,0.6,0.0,1,0,behind1,right
3,0.0,16.3,collision,,,18.3,vehicle.dodge.charger_police_2020,-5.53,-2.07,0.92,-1.8,0.0,1,0,behind1,right
4,0.0,16.2,collision,,,14.3,vehicle.audi.etron,-6.56,-2.29,0.53,-0.1,0.0,1,0,behind1,right
5,0.0,16.3,collision,,,16.5,vehicle.ford.crown,-6.22,-2.22,0.21,0.8,0.0,1,0,behind1,right
6,0.0,16.2,collision,,,12.4,vehicle.audi.tt,-7.65,-2.32,0.21,1.0,0.0,1,0,behind1,right
7,0.0,16.2,collision,,,13.8,vehicle.audi.a2,-8.11,-2.25,0.12,-1.2,0.0,1,0,behind1,right
8,0.0,16.3,collision,,,12.6,vehicle.mini.cooper_s_2021,-7.62,-2.42,0.9,-0.2,0.0,1,0,behind1,right
9,0.0,16.2,collision,,,12.2,vehicle.mini.cooper_s,-8.13,-2.3,0.82,1.3,0.0,1,0,behind1,right
10,0.0,16.3,collision,,,12.6,vehicle.bmw.grandtourer,-7.56,-2.45,1.07,2.8,0.0,1,0,behind1,right
11,0.0,16.5,collision,,,14.3,vehicle.dodge.charger_2020,-7.62,-2.4,0.83,-2.8,0.0,1,0,behind1,right
12,0.0,16.3,collision,,,14.1,vehicle.citroen.c3,-7.71,-2.29,0.66,1.7,0.0,1,0,behind1,right
13,0.0,16.3,collision,,,13.9,vehicle.seat.leon,-7.68,-2.31,0.14,0.4,0.0,1,0,behind1,right
14,0.0,16.3,collision,,,15.7,vehicle.lincoln.mkz_2017,-6.43,-2.24,1.03,2.4,0.0,1,0,behind1,right
15,0.0,16.2,collision,,,14.7,vehicle.tesla.model3,-6.57,-2.29,0.61,2.1,0.0,1,0,behind1,right
