episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard,side
1,0.0,21.8,timeout,,,,,,,,-2.2,0.0,1,30,behind2,right
2,0.0,22.2,timeout,,,,,,,,0.6,0.0,1,301,behind2,right
3,0.0,22.3,collision,,,40.7,static.vegetation,-4.21,0.38,0.02,-1.8,0.0,1,4,behind2,right
4,0.0,22.1,timeout,,,,,,,,-0.1,0.0,1,85,behind2,right
5,0.0,22.3,collision,,,38.4,static.vegetation,-4.09,0.44,0.03,0.8,0.0,1,2,behind2,right
6,0.0,22.1,timeout,,,,,,,,1.0,0.0,1,83,behind2,right
7,0.0,21.5,collision,,,34.7,static.pole,-4.18,0.89,0.01,-1.2,0.0,1,2,behind2,right
8,0.0,21.7,collision,,,41.5,static.static,-4.47,0.32,0.02,-0.2,0.0,1,3,behind2,right
9,0.0,22.0,timeout,,,,,,,,-0.6,0.0,1,179,behind2,right
10,0.0,22.2,timeout,,,,,,,,-2.4,0.0,1,80,behind2,right
11,0.0,22.5,timeout,,,,,,,,1.7,0.0,1,192,behind2,right
12,0.0,22.2,timeout,,,,,,,,0.4,0.0,1,183,behind2,right
13,0.0,22.3,collision,,,41.3,static.vegetation,-4.4,0.37,0.02,2.4,0.0,1,57,behind2,right
14,0.0,22.2,timeout,,,,,,,,2.1,0.0,1,75,behind2,right
15,0.0,22.1,timeout,,,,,,,,1.2,0.0,1,11,behind2,right
