episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard,side
1,0.0,16.3,parked,0.82,0.08,0.7,,,,,0.6,0.0,0,0,,right
2,0.0,16.1,parked,0.8,0.06,1.0,,,,,-0.8,0.0,0,0,,right
3,0.0,16.3,collision,,,15.6,static.static,-3.0,0.14,0.01,0.8,0.0,0,0,,right
4,0.0,16.2,parked,0.79,0.05,0.9,,,,,0.6,0.0,0,0,,right
5,0.0,16.3,parked,0.79,0.21,0.1,,,,,-1.4,0.0,0,0,,right
6,0.0,16.3,parked,0.79,0.04,1.0,,,,,-1.8,0.0,0,0,,right
7,0.0,16.3,parked,0.83,0.21,0.0,,,,,0.2,0.0,0,0,,right
8,0.0,16.2,parked,0.78,0.06,0.9,,,,,-0.1,0.0,0,0,,right
9,0.0,15.7,parked,0.77,0.18,0.2,,,,,-1.6,0.0,0,0,,right
10,0.0,15.7,timeout,,,,,,,,2.2,0.0,0,178,,right
11,0.0,16.3,parked,0.84,0.21,0.0,,,,,-0.7,0.0,0,0,,right
12,0.0,16.2,parked,0.82,0.09,0.7,,,,,1.0,0.0,0,0,,right
13,0.0,16.2,parked,0.77,0.05,1.1,,,,,-2.0,0.0,0,0,,right
14,0.0,16.2,parked,0.82,0.05,1.0,,,,,-1.2,0.0,0,0,,right
15,0.0,16.2,parked,0.82,0.12,0.5,,,,,1.9,0.0,0,0,,right
16,0.0,16.3,parked,0.81,0.21,0.1,,,,,-0.2,0.0,0,0,,right
17,0.0,16.2,parked,0.79,0.12,0.5,,,,,1.3,0.0,0,0,,right
18,0.0,16.3,parked,0.78,0.21,0.1,,,,,-0.6,0.0,0,0,,right
19,0.0,16.3,parked,0.8,0.21,0.1,,,,,2.8,0.0,0,0,,right
20,0.0,17.3,parked,0.82,0.19,0.6,,,,,2.3,0.0,0,0,,right
