episode,p,start_dist_m,result,m_len,m_wid,herr_deg,hit,ax,ay,speed,spawn_yaw_off_deg,spawn_lat_off_m,neighbours,reverse_steps,hazard,side
1,0.0,16.2,timeout,,,,,,,,-2.2,0.0,1,144,behind1,right
2,0.0,16.2,timeout,,,,,,,,0.6,0.0,1,61,behind1,right
3,0.0,16.3,timeout,,,,,,,,-1.8,0.0,1,94,behind1,right
4,0.0,16.2,timeout,,,,,,,,-0.1,0.0,1,118,behind1,right
5,0.0,16.3,timeout,,,,,,,,0.8,0.0,1,32,behind1,right
6,0.0,16.2,timeout,,,,,,,,1.0,0.0,1,0,behind1,right
7,0.0,16.2,timeout,,,,,,,,-1.2,0.0,1,149,behind1,right
8,0.0,16.3,timeout,,,,,,,,-0.2,0.0,1,143,behind1,right
9,0.0,16.2,timeout,,,,,,,,1.3,0.0,1,126,behind1,right
10,0.0,16.3,timeout,,,,,,,,2.8,0.0,1,0,behind1,right
11,0.0,16.5,timeout,,,,,,,,-2.8,0.0,1,0,behind1,right
12,0.0,16.3,timeout,,,,,,,,1.7,0.0,1,160,behind1,right
13,0.0,16.3,timeout,,,,,,,,0.4,0.0,1,153,behind1,right
14,0.0,16.3,collision,,,-25.1,static.building,4.09,-0.25,0.7,2.4,0.0,1,26,behind1,right
15,0.0,16.2,collision,,,23.8,static.pole,2.78,0.58,0.01,2.1,0.0,1,0,behind1,right
